route_short_name,route_long_name,route_type,route_id,agency_id
,871UP_DTC,3,1419,DTC
,872UP_DTC,3,1420,DTC
,879AUP_DTC,3,1421,DTC
,887UP_DTC,3,1422,DTC
,889UP_DTC,3,1423,DTC
,891UP_DTC,3,1424,DTC
,901UP_DTC,3,1425,DTC
,908UP_DTC,3,1426,DTC
,910UP_DTC,3,1427,DTC
,923UP_DTC,3,1428,DTC
,928UP_DTC,3,1429,DTC
,938AUP_DTC,3,1430,DTC
,939UP_DTC,3,1431,DTC
,940UP_DTC,3,1432,DTC
,940AUP_DTC,3,1433,DTC
,941UP_DTC,3,1434,DTC
,944UP_DTC,3,1435,DTC
,947UP_DTC,3,1436,DTC
,953UP_DTC,3,1437,DTC
,954UP_DTC,3,1438,DTC
,962AUP_DTC,3,1439,DTC
,962BUP_DTC,3,1440,DTC
,966EXTUP_DTC,3,1441,DTC
,970BUP_DTC,3,1442,DTC
,970CUP_DTC,3,1443,DTC
,972BUP_DTC,3,1444,DTC
,982UP_DTC,3,1445,DTC
,984AUP_DTC,3,1446,DTC
,985UP_DTC,3,1447,DTC
,988UP_DTC,3,1448,DTC
,990BUP_DTC,3,1449,DTC
,990EXTUP_DTC,3,1450,DTC
,GL-22UP_DTC,3,1451,DTC
,RL-77UP_DTC,3,1452,DTC
,RL-77BUP_DTC,3,1453,DTC
,RL-77EXTUP_DTC,3,1454,DTC
,RL-79UP_DTC,3,1455,DTC
,YMS(+)UP_DTC,3,1456,DTC
,OMS(+)UP_DTC,3,1457,DTC
,TMS(+)UP_DTC,3,1458,DTC
,WESTDELHIMUDRIKA(+)UP_DTC,3,1459,DTC
,GRAMINMUDRIKA(+)UP_DTC,3,1460,DTC
,BAWANACIRCULARSEWA(+)UP_DTC,3,1461,DTC
,BYPASSEXPRESSUP_DTC,3,1462,DTC
,AIRPORTEXP.-4UP_DTC,3,1463,DTC
,AIRPORTSHUTTLESERVICEUP_DTC,3,1464,DTC
,012(NS)UP_DTC,3,1465,DTC
,044(NS)UP_DTC,3,1466,DTC
,072(NS)UP_DTC,3,1467,DTC
,0114(NS)UP_DTC,3,1468,DTC
,0118EXT(NS)UP_DTC,3,1469,DTC
,0131(NS)UP_DTC,3,1470,DTC
,0205(NS)UP_DTC,3,1471,DTC
,0236(NS)UP_DTC,3,1472,DTC
,0261(NS)UP_DTC,3,1473,DTC
,0405(NS)UP_DTC,3,1474,DTC
,0419(NS)UP_DTC,3,1475,DTC
,0502(NS)UP_DTC,3,1476,DTC
,0543A(NS)UP_DTC,3,1477,DTC
,0604(NS)UP_DTC,3,1478,DTC
,0729(NS)UP_DTC,3,1479,DTC
,0740(NS)UP_DTC,3,1480,DTC
,0753(NS)UP_DTC,3,1481,DTC
,0901(NS)UP_DTC,3,1482,DTC
,0926(NS)UP_DTC,3,1483,DTC
,0929(NS)UP_DTC,3,1484,DTC
,0943(NS)UP_DTC,3,1485,DTC
,0GL-23(NS)UP_DTC,3,1486,DTC
,0OMS(+)(NS)UP_DTC,3,1487,DTC
,0TMS(+)(NS)UP_DTC,3,1488,DTC
,0AIRPORTEXP-4(NS)UP_DTC,3,1489,DTC
,EXPRESS-344UP_DTC,3,1490,DTC
,EXPRESS-970UP_DTC,3,1491,DTC
,EXPRESS-727AUP_DTC,3,1492,DTC
,EXPRESS-85AUP_DTC,3,1493,DTC
,EXPRESS-91UP_DTC,3,1494,DTC
,19DOWN_DTC,3,1495,DTC
,19ADOWN_DTC,3,1496,DTC
,33CDOWN_DTC,3,1497,DTC
,82DOWN_DTC,3,1498,DTC
,85DOWN_DTC,3,1499,DTC
,85EXTDOWN_DTC,3,1500,DTC
,88DOWN_DTC,3,1501,DTC
,89DOWN_DTC,3,1502,DTC
,100EXTDOWN_DTC,3,1503,DTC
,100ADOWN_DTC,3,1504,DTC
,107DOWN_DTC,3,1505,DTC
,113DOWN_DTC,3,1506,DTC
,114DOWN_DTC,3,1507,DTC
,114ADOWN_DTC,3,1508,DTC
,114EXTDOWN_DTC,3,1509,DTC
,116DOWN_DTC,3,1510,DTC
,116BDOWN_DTC,3,1511,DTC
,119DOWN_DTC,3,1512,DTC
,124DOWN_DTC,3,1513,DTC
,127DOWN_DTC,3,1514,DTC
,137DOWN_DTC,3,1515,DTC
,138DOWN_DTC,3,1516,DTC
,144DOWN_DTC,3,1517,DTC
,148DOWN_DTC,3,1518,DTC
,157DOWN_DTC,3,1519,DTC
,160DOWN_DTC,3,1520,DTC
,169DOWN_DTC,3,1521,DTC
,172DOWN_DTC,3,1522,DTC
,174DOWN_DTC,3,1523,DTC
,174STLDOWN_DTC,3,1524,DTC
,179DOWN_DTC,3,1525,DTC
,182ADOWN_DTC,3,1526,DTC
,194DOWN_DTC,3,1527,DTC
