bus_number,duty,ot,it,shift
DL1PC7310,522,"12/1/2020, 7:29:15 AM","12/1/2020, 2:09:15 PM",morning
DL1PC7044,469,"12/1/2020, 6:05:15 AM","01/12/2020, 12:50:06",morning
DL1PC7393,419,"12/1/2020, 7:17:08 AM","12/1/2020, 3:25:19 PM",morning
DL1PC7013,419,"12/1/2020, 7:28:52 AM","12/1/2020, 3:25:02 PM",morning
DL1PC7056,520,"12/1/2020, 6:10:33 AM","12/1/2020, 1:19:51 PM",morning
DL1PC7002,680,"12/1/2020, 8:43:46 AM","12/1/2020, 4:14:49 PM",morning
DL1PC7082,419,"12/1/2020, 6:16:03 AM","12/1/2020, 2:08:01 PM",morning
DL1PC7036,516,"12/1/2020, 6:47:44 AM","12/1/2020, 2:32:20 PM",morning
DL1PC7301,522,"12/1/2020, 8:20:04 AM","12/1/2020, 3:25:13 PM",morning
DL1PC7062,680,"12/1/2020, 8:19:16 AM","12/1/2020, 3:50:02 PM",morning
DL1PC7084,503,"12/1/2020, 7:53:38 AM","12/1/2020, 2:32:07 PM",morning
DL1PC7043,411,"12/1/2020, 6:46:02 AM","12/1/2020, 2:43:35 PM",morning
DL1PC7047,419,"12/1/2020, 6:19:21 AM","12/1/2020, 1:57:03 PM",morning
DL1PC7060,419,"12/1/2020, 6:07:14 AM","01/12/2020, 12:48:15",morning
DL1PC7021,423,"12/1/2020, 7:43:22 AM","12/1/2020, 3:25:49 PM",morning
DL1PC7309,522,"12/1/2020, 6:34:27 AM","12/1/2020, 1:56:41 PM",morning
DL1PC7050,423,"12/1/2020, 7:19:19 AM","12/1/2020, 2:47:07 PM",morning
DL1PC7085,423,"12/1/2020, 6:30:46 AM","12/1/2020, 2:09:27 PM",morning
DL1PC7027,423,"12/1/2020, 6:09:46 AM","12/1/2020, 1:03:12 PM",morning
DL1PC7051,423,"12/1/2020, 6:06:46 AM","01/12/2020, 12:49:43",morning
DL1PC7008,419,"12/1/2020, 7:48:55 AM","12/1/2020, 3:42:15 PM",morning
DL1PC7032,680,"12/1/2020, 6:25:51 AM","12/1/2020, 1:57:15 PM",morning
DL1PC7061,423,"12/1/2020, 8:17:28 AM","12/1/2020, 3:26:08 PM",morning
DL1PC7010,469,"12/1/2020, 6:58:16 AM","12/1/2020, 2:31:32 PM",morning
DL1PC7014,419,"12/1/2020, 6:42:10 AM","12/1/2020, 2:31:55 PM",morning
DL1PC7076,522,"12/1/2020, 6:50:16 AM","12/1/2020, 1:56:57 PM",morning
DL1PC7069,423,"12/1/2020, 8:43:17 AM","12/1/2020, 3:39:12 PM",morning
DL1PC7041,542,"12/1/2020, 6:46:47 AM","12/1/2020, 2:31:22 PM",morning
DL1PC7031,411,"12/1/2020, 7:18:36 AM","12/1/2020, 3:25:27 PM",morning
DL1PC7048,522,"12/1/2020, 8:18:03 AM","12/1/2020, 3:38:58 PM",morning
DL1PC7066,519,"12/1/2020, 6:46:23 AM","12/1/2020, 2:43:29 PM",morning
DL1PC7305,469,"12/1/2020, 7:27:56 AM","12/1/2020, 2:47:13 PM",morning
DL1PC7018,505,"12/1/2020, 6:38:44 AM","12/1/2020, 2:08:36 PM",morning
DL1PC7020,506STL,"12/1/2020, 6:11:21 AM","12/1/2020, 1:20:15 PM",morning
DL1PC7080,500,"12/1/2020, 6:30:31 AM","12/1/2020, 3:45:46 PM",morning
DL1PC7035,SPECIAL-HIRE,"12/1/2020, 8:26:03 AM","12/1/2020, 4:11:35 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/1/2020, 8:25:46 AM","12/1/2020, 4:11:27 PM",morning
DL1PC7012,469,"12/1/2020, 6:13:00 AM","12/1/2020, 1:41:11 PM",morning
DL1PC7094,419,"12/1/2020, 6:08:19 AM","12/1/2020, 1:20:24 PM",morning
DL1PC7563,469,"12/1/2020, 8:18:50 AM","12/1/2020, 3:45:16 PM",morning
DL1PC7139,469,"12/1/2020, 7:46:30 AM","12/1/2020, 4:29:39 PM",morning
DL1PC7136,419,"12/1/2020, 7:24:40 AM","12/1/2020, 3:24:52 PM",morning
DL1PC7218,680,"12/1/2020, 6:18:06 AM","12/1/2020, 1:41:32 PM",morning
DL1PC7063,419,"12/1/2020, 6:34:00 AM","12/1/2020, 2:32:01 PM",morning
DL1PC7053,525,"12/1/2020, 6:10:54 AM","12/1/2020, 1:08:51 PM",morning
DL1PC7075,680,"12/1/2020, 8:18:20 AM","12/1/2020, 3:34:53 PM",morning
DL1PC7311,522,"12/1/2020, 7:32:39 AM","12/1/2020, 2:46:51 PM",morning
DL1PC7054,505,"12/1/2020, 6:41:30 AM","12/1/2020, 2:31:39 PM",morning
DL1PC7011,469,"12/1/2020, 6:13:40 AM","12/1/2020, 1:19:58 PM",morning
DL1PC7142,469,"12/1/2020, 7:30:36 AM","12/1/2020, 2:46:57 PM",morning
DL1PC7086,423,"12/1/2020, 7:58:39 AM","12/1/2020, 3:25:08 PM",morning
DL1PC7153,680,"12/1/2020, 6:14:58 AM","12/1/2020, 1:41:17 PM",morning
DL1PC7386,469,"12/1/2020, 8:25:28 AM","12/1/2020, 3:26:03 PM",morning
DL1PC7046,522,"12/1/2020, 6:09:11 AM","12/1/2020, 12:10:46 PM",morning
DL1PC7073,419,"12/1/2020, 6:50:50 AM","12/1/2020, 2:43:50 PM",morning
DL1PC7065,419,"12/1/2020, 6:05:36 AM","01/12/2020, 12:49:32",morning
DL1PC7385,522,"12/1/2020, 6:24:08 AM","12/1/2020, 1:09:27 PM",morning
DL1PC7055,680,"12/1/2020, 8:42:53 AM","12/1/2020, 4:29:15 PM",morning
DL1PC7022,505,"12/1/2020, 6:17:38 AM","12/1/2020, 1:56:50 PM",morning
DL1PC7150,469,"12/1/2020, 6:08:44 AM","12/1/2020, 1:09:21 PM",morning
DL1PC7147,419,"12/1/2020, 6:12:03 AM","12/1/2020, 1:41:04 PM",morning
DL1PC7052,516,"12/1/2020, 7:26:25 AM","12/1/2020, 2:47:02 PM",morning
DL1PC7004,419,"12/1/2020, 6:40:09 AM","12/1/2020, 2:08:29 PM",morning
DL1PC7028,522,"12/1/2020, 8:42:34 AM","12/1/2020, 3:39:05 PM",morning
DL1PC7573,469,"12/1/2020, 6:24:46 AM","12/1/2020, 1:57:33 PM",morning
DL1PC7040,680,"12/1/2020, 6:39:26 AM","12/1/2020, 2:31:19 PM",morning
DL1PC7025,500,"12/1/2020, 7:18:54 AM","12/1/2020, 2:32:33 PM",morning
DL1PC7023,580,"12/1/2020, 6:17:15 AM","12/1/2020, 2:06:19 PM",morning
DL1PC7058,423,"12/1/2020, 7:47:40 AM","12/1/2020, 3:25:41 PM",morning
DL1PC7072,520,"12/1/2020, 6:25:13 AM","12/1/2020, 2:08:23 PM",morning
DL1PC7033,500,"12/1/2020, 6:19:49 AM","12/1/2020, 2:07:54 PM",morning
DL1PC7045,680,"12/1/2020, 6:16:50 AM","12/1/2020, 1:41:25 PM",morning
DL1PC7394,419,"12/1/2020, 8:00:25 AM","12/1/2020, 3:41:55 PM",morning
DL1PC7078,500,"12/1/2020, 6:07:34 AM","12/1/2020, 1:19:42 PM",morning
DL1PC7092,522,"12/1/2020, 8:45:06 AM","12/1/2020, 3:39:30 PM",morning
DL1PC7059,500,"12/1/2020, 7:22:22 AM","12/1/2020, 3:25:34 PM",morning
DL1PC7003,419,"12/1/2020, 6:49:47 AM","12/1/2020, 2:31:28 PM",morning
DL1PC7049,411,"12/1/2020, 6:20:10 AM","12/1/2020, 2:06:53 PM",morning
DL1PC7030,516,"12/1/2020, 7:21:46 AM","12/1/2020, 2:32:26 PM",morning
DL1PC7071,469,"12/1/2020, 6:05:58 AM","01/12/2020, 12:48:31",morning
DL1PC7087,500,"12/1/2020, 6:15:34 AM","12/1/2020, 1:56:33 PM",morning
DL1PC7039,413,"12/1/2020, 6:23:23 AM","12/1/2020, 2:06:33 PM",morning
DL1PC7135,469,"12/1/2020, 8:45:59 AM","12/1/2020, 4:07:20 PM",morning
DL1PC7083,519,"12/1/2020, 6:18:49 AM","12/1/2020, 1:57:21 PM",morning
DL1PC7391,419,"12/1/2020, 6:58:42 AM","12/1/2020, 2:43:44 PM",morning
DL1PC7137,419,"12/1/2020, 6:18:24 AM","12/1/2020, 2:06:27 PM",morning
DL1PC7037,505,"12/1/2020, 7:56:27 AM","12/1/2020, 3:26:14 PM",morning
DL1PC7079,521,"12/1/2020, 6:12:27 AM","01/12/2020, 12:50:37",morning
DL1PC7064,469,"12/1/2020, 6:26:22 AM","12/1/2020, 1:57:09 PM",morning
DL1PC7067,522,"12/1/2020, 6:07:55 AM","12/1/2020, 12:21:59 PM",morning
DL1PC9075,419,"12/1/2020, 8:44:29 AM","12/1/2020, 3:39:25 PM",morning
DL1PC7074,423,"12/1/2020, 6:51:51 AM","12/1/2020, 2:31:46 PM",morning
DL1PC7115,185,"12/1/2020, 5:14:52 AM","12/1/2020, 12:01:41 PM",morning
DL1PC9091,721,"12/1/2020, 7:47:00 AM","12/1/2020, 2:36:00 PM",morning
DL1PC8232,912,"12/1/2020, 7:46:21 AM","12/1/2020, 3:18:15 PM",morning
DL1PC9520,116,"12/1/2020, 7:45:44 AM","12/1/2020, 2:35:14 PM",morning
DL1PC9853,192,"12/1/2020, 7:45:15 AM","12/1/2020, 2:33:37 PM",morning
DL1PC9850,116,"12/1/2020, 6:55:52 AM","12/1/2020, 2:34:36 PM",morning
DL1PC9093,729,"12/1/2020, 7:15:04 AM","12/1/2020, 2:31:09 PM",morning
DL1PC7117,405,"12/1/2020, 8:01:03 AM","12/1/2020, 2:34:56 PM",morning
DL1PC9086,729,"12/1/2020, 8:19:02 AM","12/1/2020, 2:38:30 PM",morning
DL1PC9571,SPECIAL-HIRE,"12/1/2020, 9:10:41 AM","12/1/2020, 4:02:40 PM",morning
DL1PC9078,118EXT,"12/1/2020, 7:00:06 AM","12/1/2020, 1:45:32 PM",morning
DL1PC7116,116,"12/1/2020, 5:31:41 AM","12/1/2020, 1:28:20 PM",morning
DL1PC9081,729,"12/1/2020, 5:15:51 AM","12/1/2020, 12:23:46 PM",morning
DL1PC9516,26,"12/1/2020, 6:12:20 AM","12/1/2020, 12:46:40 PM",morning
DL1PC7097,912,"12/1/2020, 6:12:41 AM","12/1/2020, 4:03:10 PM",morning
DL1PC7098,26,"12/1/2020, 7:44:39 AM","12/1/2020, 4:03:49 PM",morning
DL1PC9940,192,"12/1/2020, 7:26:45 AM","12/1/2020, 2:52:50 PM",morning
DL1PC9084,Air Port Ex-Press - 4,"12/1/2020, 5:15:21 AM","12/1/2020, 12:15:03 PM",morning
DL1PC9849,185,"12/1/2020, 8:34:45 AM","12/1/2020, 3:52:28 PM",morning
DL1PC9796,921,"12/1/2020, 6:28:10 AM","12/1/2020, 2:26:11 PM",morning
DL1PC8231,SPECIAL-HIRE,"12/1/2020, 9:10:59 AM","12/1/2020, 4:02:42 PM",morning
DL1PC9102,Air Port Ex-Press - 4,"12/1/2020, 6:51:36 AM","12/1/2020, 2:26:04 PM",morning
DL1PC9518,912,"12/1/2020, 5:16:06 AM","12/1/2020, 12:41:59 PM",morning
DL1PC9094,118EXT,"12/1/2020, 5:57:42 AM","12/1/2020, 12:40:39 PM",morning
DL1PC9101,118EXT,"12/1/2020, 6:42:53 AM","12/1/2020, 1:37:21 PM",morning
DL1PC9565,192,"12/1/2020, 5:39:57 AM","12/1/2020, 1:28:50 PM",morning
DL1PC9791,912,"12/1/2020, 9:52:06 AM","12/1/2020, 3:25:31 PM",morning
DL1PC9794,192,"12/1/2020, 5:31:53 AM","12/1/2020, 1:29:00 PM",morning
DL1PC9092,Air Port Ex-Press - 4,"12/1/2020, 6:24:07 AM","12/1/2020, 1:29:04 PM",morning
DL1PC7089,405,"12/1/2020, 6:48:36 AM","12/1/2020, 5:29:21 PM",morning
DL1PC9801,192,"12/1/2020, 6:00:24 AM","12/1/2020, 1:49:03 PM",morning
DL1PC7096,192,"12/1/2020, 5:15:06 AM","12/1/2020, 12:18:59 PM",morning
DL1PC7090,192,"12/1/2020, 6:04:14 AM","12/1/2020, 1:30:32 PM",morning
DL1PC9848,405,"12/1/2020, 6:46:08 AM","12/1/2020, 5:38:28 PM",morning
DL1PC9793,192,"12/1/2020, 5:16:21 AM","12/1/2020, 12:45:13 PM",morning
DL1PC9856,185,"12/1/2020, 5:15:36 AM","12/1/2020, 12:27:47 PM",morning
DL1PC9855,405,"12/1/2020, 6:43:37 AM","12/1/2020, 5:38:36 PM",morning
DL1PC9080,Air Port Ex-Press - 4,"12/1/2020, 6:49:39 AM","12/1/2020, 2:16:15 PM",morning
DL1PC9792,SPECIAL-HIRE,"12/1/2020, 9:12:17 AM","12/1/2020, 4:02:39 PM",morning
DL1PC9519,405,"12/1/2020, 8:18:42 AM","12/1/2020, 2:25:55 PM",morning
DL1PC9096,118EXT,"12/1/2020, 5:50:23 AM","12/1/2020, 1:28:41 PM",morning
DL1PC9517,SPECIAL-HIRE,"12/1/2020, 9:11:20 AM","12/1/2020, 4:02:41 PM",morning
DL1PC9089,392B,"12/1/2020, 6:04:57 AM","12/1/2020, 1:45:23 PM",morning
DL1PC9097,729,"12/1/2020, 9:26:25 AM","12/1/2020, 3:52:36 PM",morning
DL1PC9103,721,"12/1/2020, 6:56:18 AM","12/1/2020, 1:52:41 PM",morning
DL1PC7448,185,"12/1/2020, 5:48:57 AM","12/1/2020, 1:28:33 PM",morning
DL1PC7113,SPECIAL-HIRE,"12/1/2020, 9:11:42 AM","12/1/2020, 4:02:43 PM",morning
DL1PC9082,392B,"12/1/2020, 6:46:47 AM","12/1/2020, 2:25:41 PM",morning
DL1PC9878,192,"12/1/2020, 5:48:11 AM","12/1/2020, 2:30:57 PM",morning
DL1PC9795,192,"12/1/2020, 6:23:22 AM","12/1/2020, 2:27:24 PM",morning
DL1PC9083,392B,"12/1/2020, 7:11:40 AM","12/1/2020, 2:16:44 PM",morning
DL1PC8878,182A,"12/1/2020, 8:18:18 AM","12/1/2020, 2:42:35 PM",morning
DL1PC9892,182A,"12/1/2020, 6:30:59 AM","12/1/2020, 1:37:09 PM",morning
DL1PC8877,271,"12/1/2020, 6:26:10 AM","12/1/2020, 2:02:23 PM",morning
DL1PC9085,392B,"12/1/2020, 5:32:10 AM","12/1/2020, 1:28:25 PM",morning
DL1PC9847,192,"12/1/2020, 6:40:50 AM","12/1/2020, 2:27:40 PM",morning
DL1PC9799,912,"12/1/2020, 6:55:26 AM","12/1/2020, 2:00:35 PM",morning
DL1PC9574,185,"12/1/2020, 7:02:05 AM","12/1/2020, 2:01:33 PM",morning
DL1PC9079,118EXT,"12/1/2020, 7:10:45 AM","12/1/2020, 1:56:01 PM",morning
DL1PC7100,912,"12/1/2020, 6:04:35 AM","12/1/2020, 1:29:50 PM",morning
DL1PC9852,192,"12/1/2020, 9:01:51 AM","12/1/2020, 3:40:06 PM",morning
DL1PC9800,882,"12/1/2020, 6:38:06 AM","12/1/2020, 2:26:19 PM",morning
DL1PC9098,392B,"12/1/2020, 7:54:16 AM","12/1/2020, 2:01:13 PM",morning
DL1PC0740,821,"12/1/2020, 6:49:00 AM","1/12/2020, 7:56:49 PM",morning
DL1PC0346,539,"12/1/2020, 7:25:10 AM","1/12/2020, 2:29:37 PM",morning
DL1PC0544,234,"12/1/2020, 6:20:02 AM","1/12/2020, 7:57:07 PM",morning
DL1PC0948,817,"12/1/2020, 6:53:05 AM","1/12/2020, 7:56:44 PM",morning
DL1PB9993,828,"12/1/2020, 5:29:45 AM","12/1/2020, 12:47:34 PM",morning
DL1PC0509,539,"12/1/2020, 7:20:46 AM","1/12/2020, 2:29:09 PM",morning
DL1PC0518,764,"12/1/2020, 7:58:25 AM","1/12/2020, 7:54:14 PM",morning
DL1PC0342,817,"12/1/2020, 8:45:34 AM","1/12/2020, 3:46:08 PM",morning
DL1PC1388,764,"12/1/2020, 6:26:50 AM","1/12/2020, 7:56:34 PM",morning
DL1PC0548,764,"12/1/2020, 6:31:21 AM","1/12/2020, 2:09:34 PM",morning
DL1PC0550,764,"12/1/2020, 6:46:54 AM","1/12/2020, 2:27:14 PM",morning
DL1PC0515,764,"12/1/2020, 7:02:40 AM","1/12/2020, 2:29:58 PM",morning
DL1PC1089,844,"12/1/2020, 7:04:13 AM","1/12/2020, 2:10:05 PM",morning
DL1PC1390,539,"12/1/2020, 6:15:40 AM","12/1/2020, 1:05:01 PM",morning
DL1PC1562,764,"12/1/2020, 6:43:57 AM","1/12/2020, 7:56:28 PM",morning
DL1PC0657,728,"12/1/2020, 8:15:18 AM","1/12/2020, 3:46:01 PM",morning
DL1PB9973,817,"12/1/2020, 7:52:05 AM","1/12/2020, 2:30:44 PM",morning
DL1PC0514,539,"01/12/2020, 04:53:12","1/12/2020, 2:10:46 PM",morning
DL1PB9941,978,"12/1/2020, 7:38:23 AM","1/12/2020, 2:29:18 PM",morning
DL1PC0519,817,"12/1/2020, 6:27:59 AM","1/12/2020, 2:11:03 PM",morning
DL1PC0116,848,"12/1/2020, 6:28:21 AM","1/12/2020, 2:09:57 PM",morning
DL1PB9879,817,"12/1/2020, 6:15:15 AM","1/12/2020, 4:47:49 PM",morning
DL1PC0981,539,"12/1/2020, 6:23:58 AM","1/12/2020, 1:14:34 PM",morning
DL1PB9913,828,"01/12/2020, 03:53:11","12/1/2020, 11:06:19 AM",morning
DL1PC0170,539,"12/1/2020, 6:32:37 AM","1/12/2020, 2:09:21 PM",morning
DL1PC0560,817,"12/1/2020, 8:46:59 AM","1/12/2020, 7:54:06 PM",morning
DL1PC0589,817,"12/1/2020, 7:09:24 AM","1/12/2020, 2:10:37 PM",morning
DL1PC0507,764,"12/1/2020, 8:05:21 AM","1/12/2020, 7:52:08 PM",morning
DL1PC0206,978,"12/1/2020, 6:19:28 AM","1/12/2020, 1:24:26 PM",morning
