bus_number,duty,ot,it,shift
DL1PC7310,522,"12/6/2020, 7:56:05 AM","12/6/2020, 3:11:52 PM",morning
DL1PC7044,419,"12/6/2020, 6:13:12 AM","12/6/2020, 1:51:59 PM",morning
DL1PC7393,419,"12/6/2020, 7:11:20 AM","12/6/2020, 2:45:32 PM",morning
DL1PC7013,419,"12/6/2020, 7:30:32 AM","12/6/2020, 3:11:36 PM",morning
DL1PC7056,520,"12/6/2020, 5:53:25 AM","12/6/2020, 1:19:29 PM",morning
DL1PC7002,522,"12/6/2020, 6:21:45 AM","12/6/2020, 1:09:24 PM",morning
DL1PC7082,522,"12/6/2020, 5:52:53 AM","12/6/2020, 12:22:11 PM",morning
DL1PC7301,469,"12/6/2020, 7:41:38 AM","12/6/2020, 3:13:04 PM",morning
DL1PC7084,503,"12/6/2020, 6:52:44 AM","12/6/2020, 2:07:43 PM",morning
DL1PC9074,522,"12/6/2020, 6:53:00 AM","12/6/2020, 1:42:19 PM",morning
DL1PC7043,411,"12/6/2020, 6:54:58 AM","12/6/2020, 2:36:53 PM",morning
DL1PC7047,423,"12/6/2020, 7:46:48 AM","12/6/2020, 3:13:22 PM",morning
DL1PC7060,419,"06/12/2020, 05:20:42","12/6/2020, 1:09:57 PM",morning
DL1PC7021,580,"12/6/2020, 5:59:38 AM","12/6/2020, 1:56:12 PM",morning
DL1PC7309,419,"12/6/2020, 5:51:40 AM","12/6/2020, 1:23:42 PM",morning
DL1PC7050,423,"12/6/2020, 7:31:36 AM","12/6/2020, 3:11:28 PM",morning
DL1PC7085,423,"12/6/2020, 6:37:07 AM","12/6/2020, 4:25:57 PM",morning
DL1PC7027,423,"12/6/2020, 5:53:54 AM","12/6/2020, 1:09:30 PM",morning
DL1PC7008,419,"12/6/2020, 7:51:25 AM","12/6/2020, 3:11:43 PM",morning
DL1PC7032,680,"12/6/2020, 6:29:46 AM","12/6/2020, 2:07:25 PM",morning
DL1PC7061,469,"06/12/2020, 05:08:01","12/6/2020, 1:10:18 PM",morning
DL1PC7010,469,"12/6/2020, 6:58:39 AM","12/6/2020, 2:22:58 PM",morning
DL1PC7014,419,"12/6/2020, 6:40:27 AM","12/6/2020, 2:23:10 PM",morning
DL1PC7076,522,"12/6/2020, 8:07:38 AM","12/6/2020, 3:25:06 PM",morning
DL1PC7069,516,"12/6/2020, 7:08:29 AM","12/6/2020, 2:36:59 PM",morning
DL1PC7041,525,"12/6/2020, 5:52:02 AM","12/6/2020, 1:09:19 PM",morning
DL1PC7031,680,"12/6/2020, 6:36:18 AM","12/6/2020, 2:23:04 PM",morning
DL1PC7066,519,"12/6/2020, 6:43:15 AM","12/6/2020, 2:38:43 PM",morning
DL1PC7305,469,"12/6/2020, 7:13:50 AM","12/6/2020, 2:51:09 PM",morning
DL1PC7020,SPECIAL-HIRE,"12/6/2020, 6:53:31 AM","12/6/2020, 4:24:31 PM",morning
DL1PC7057,505,"12/6/2020, 5:55:59 AM","12/6/2020, 1:42:28 PM",morning
DL1PC7080,500,"12/6/2020, 6:37:29 AM","12/6/2020, 2:07:18 PM",morning
DL1PC7035,SPECIAL-HIRE,"12/6/2020, 6:00:22 AM","12/6/2020, 4:22:54 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/6/2020, 5:56:59 AM","12/6/2020, 4:21:49 PM",morning
DL1PC7094,469,"12/6/2020, 8:24:58 AM","12/6/2020, 3:21:39 PM",morning
DL1PC7563,469,"12/6/2020, 8:08:02 AM","12/6/2020, 3:54:18 PM",morning
