bus_number,duty,ot,it,shift
DL1PC7137,419,"12/12/2020, 6:31:44 AM","12/12/2020, 2:03:28 PM",morning
DL1PC7573,419,"12/12/2020, 6:29:22 AM","12/12/2020, 2:11:28 PM",morning
DL1PC7002,522,"12/12/2020, 6:24:16 AM","12/12/2020, 1:51:58 PM",morning
DL1PC7039,413,"12/12/2020, 6:16:34 AM","12/12/2020, 2:03:49 PM",morning
DL1PC7049,411,"12/12/2020, 6:23:28 AM","12/12/2020, 1:56:32 PM",morning
DL1PC7047,419,"12/12/2020, 6:09:02 AM","12/12/2020, 1:56:27 PM",morning
DL1PC7012,469,"12/12/2020, 6:00:52 AM","12/12/2020, 1:53:31 PM",morning
DL1PC7050,423,"12/12/2020, 7:39:35 AM","12/12/2020, 2:55:38 PM",morning
DL1PC7041,542,"12/12/2020, 6:55:07 AM","12/12/2020, 2:33:35 PM",morning
DL1PC7037,516,"12/12/2020, 7:41:38 AM","12/12/2020, 2:56:06 PM",morning
DL1PC7053,525,"12/12/2020, 5:59:08 AM","12/12/2020, 1:02:19 PM",morning
DL1PC7060,419,"12/12/2020, 5:55:13 AM","12/12/2020, 12:48:31 PM",morning
DL1PC7018,522,"12/12/2020, 6:36:10 AM","12/12/2020, 1:55:37 PM",morning
DL1PC7042,522,"12/12/2020, 8:22:32 AM","12/12/2020, 3:54:01 PM",morning
DL1PC7028,500,"12/12/2020, 7:43:07 AM","12/12/2020, 3:19:53 PM",morning
DL1PC7051,423,"12/12/2020, 5:54:30 AM","12/12/2020, 12:43:25 PM",morning
DL1PC7024,516,"12/12/2020, 6:57:19 AM","12/12/2020, 2:35:37 PM",morning
DL1PC7092,419,"12/12/2020, 7:40:47 AM","12/12/2020, 2:55:57 PM",morning
DL1PC7066,519,"12/12/2020, 6:58:19 AM","12/12/2020, 2:41:19 PM",morning
DL1PC7040,680,"12/12/2020, 6:36:59 AM","12/12/2020, 2:34:13 PM",morning
DL1PC7069,500,"12/12/2020, 5:58:29 AM","12/12/2020, 1:27:31 PM",morning
DL1PC7075,423,"12/12/2020, 6:42:18 AM","12/12/2020, 2:34:02 PM",morning
DL1PC7029,500,"12/12/2020, 7:34:02 AM","12/12/2020, 2:55:19 PM",morning
DL1PC7063,521,"12/12/2020, 5:57:07 AM","12/12/2020, 4:33:13 PM",morning
DL1PC7025,423,"12/12/2020, 7:50:39 AM","12/12/2020, 3:12:25 PM",morning
DL1PC7086,469,"12/12/2020, 5:53:11 AM","12/12/2020, 12:23:05 PM",morning
DL1PC7026,580,"12/12/2020, 6:07:43 AM","12/12/2020, 1:57:04 PM",morning
DL1PC7033,423,"12/12/2020, 8:00:25 AM","12/12/2020, 3:12:20 PM",morning
DL1PC7072,520,"12/12/2020, 7:03:44 AM","12/12/2020, 2:11:03 PM",morning
DL1PC7044,469,"12/12/2020, 05:13:13","12/12/2020, 12:47:43 PM",morning
DL1PC7038,419,"12/12/2020, 6:56:31 AM","12/12/2020, 2:41:09 PM",morning
DL1PC7046,419,"12/12/2020, 6:27:06 AM","12/12/2020, 2:34:45 PM",morning
DL1PC7310,680,"12/12/2020, 6:03:30 AM","12/12/2020, 1:54:01 PM",morning
DL1PC7391,419,"12/12/2020, 6:59:15 AM","12/12/2020, 2:35:56 PM",morning
DL1PC7082,680,"12/12/2020, 8:36:23 AM","12/12/2020, 4:26:32 PM",morning
DL1PC7062,522,"12/12/2020, 6:54:24 AM","12/12/2020, 1:56:38 PM",morning
DL1PC7073,469,"12/12/2020, 8:49:51 AM","12/12/2020, 4:33:03 PM",morning
DL1PC7013,419,"12/12/2020, 7:43:57 AM","12/12/2020, 3:12:11 PM",morning
DL1PC7135,469,"12/12/2020, 6:04:25 AM","12/12/2020, 1:53:08 PM",morning
DL1PC7079,680,"12/12/2020, 6:48:49 AM","12/12/2020, 1:56:57 PM",morning
DL1PC7065,419,"12/12/2020, 05:12:42","12/12/2020, 12:21:50 PM",morning
DL1PC7043,469,"12/12/2020, 6:30:10 AM","12/12/2020, 1:55:45 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/12/2020, 6:34:41 AM","12/12/2020, 4:11:23 PM",morning
DL1PC7087,500,"12/12/2020, 6:17:06 AM","12/12/2020, 1:55:15 PM",morning
DL1PC7385,419,"12/12/2020, 7:42:26 AM","12/12/2020, 3:31:29 PM",morning
DL1PC7061,469,"12/12/2020, 8:11:11 AM","12/12/2020, 3:31:53 PM",morning
DL1PC7045,680,"12/12/2020, 6:07:07 AM","12/12/2020, 1:53:39 PM",morning
DL1PC7021,423,"12/12/2020, 5:56:34 AM","12/12/2020, 1:51:49 PM",morning
DL1PC7064,522,"12/12/2020, 8:20:05 AM","12/12/2020, 3:31:21 PM",morning
DL1PC7030,516,"12/12/2020, 7:13:13 AM","12/12/2020, 2:42:19 PM",morning
DL1PC7035,SPECIAL-HIRE,"12/12/2020, 6:33:42 AM","12/12/2020, 4:11:12 PM",morning
DL1PC9074,419,"12/12/2020, 7:49:27 AM","12/12/2020, 3:20:09 PM",morning
DL1PC7020,411,"12/12/2020, 7:01:41 AM","12/12/2020, 2:35:32 PM",morning
DL1PC7054,505,"12/12/2020, 6:41:00 AM","12/12/2020, 2:33:56 PM",morning
DL1PC7059,423,"12/12/2020, 6:28:06 AM","12/12/2020, 2:11:19 PM",morning
DL1PC7022,411,"12/12/2020, 6:55:49 AM","12/12/2020, 2:35:42 PM",morning
DL1PC7036,500,"12/12/2020, 6:15:50 AM","12/12/2020, 1:56:08 PM",morning
DL1PC7057,505,"12/12/2020, 6:08:25 AM","12/12/2020, 1:55:52 PM",morning
DL1PC7027,522,"12/12/2020, 6:02:56 AM","12/12/2020, 12:32:52 PM",morning
DL1PC7023,522,"12/12/2020, 5:57:47 AM","12/12/2020, 12:02:27 PM",morning
DL1PC7052,423,"12/12/2020, 7:51:27 AM","12/12/2020, 3:12:32 PM",morning
DL1PC7139,419,"12/12/2020, 6:02:22 AM","12/12/2020, 4:34:09 PM",morning
DL1PC7074,542,"12/12/2020, 6:15:18 AM","12/12/2020, 2:11:08 PM",morning
DL1PC7080,680,"12/12/2020, 8:09:30 AM","12/12/2020, 4:16:29 PM",morning
DL1PC7311,522,"12/12/2020, 7:45:06 AM","12/12/2020, 2:55:28 PM",morning
DL1PC7032,680,"12/12/2020, 8:53:54 AM","12/12/2020, 4:10:59 PM",morning
DL1PC7008,469,"12/12/2020, 8:19:08 AM","12/12/2020, 3:32:02 PM",morning
DL1PC7010,469,"12/12/2020, 7:02:39 AM","12/12/2020, 2:34:20 PM",morning
DL1PC7094,419,"12/12/2020, 6:00:18 AM","12/12/2020, 1:52:15 PM",morning
DL1PC7136,525,"12/12/2020, 6:40:26 AM","12/12/2020, 1:54:19 PM",morning
DL1PC7386,505,"12/12/2020, 6:22:30 AM","12/12/2020, 2:03:38 PM",morning
DL1PC7301,419,"12/12/2020, 8:02:21 AM","12/12/2020, 3:55:20 PM",morning
DL1PC7150,469,"12/12/2020, 5:59:44 AM","12/12/2020, 4:34:23 PM",morning
DL1PC7305,469,"12/12/2020, 7:40:09 AM","12/12/2020, 3:11:55 PM",morning
DL1PC7056,520,"12/12/2020, 5:55:49 AM","12/12/2020, 1:52:57 PM",morning
DL1PC7218,680,"12/12/2020, 6:26:00 AM","12/12/2020, 1:56:00 PM",morning
DL1PC7048,419,"12/12/2020, 7:45:52 AM","12/12/2020, 3:31:40 PM",morning
DL1PC7078,SPECIAL-HIRE,"12/12/2020, 6:35:18 AM","12/12/2020, 4:11:18 PM",morning
DL1PC7309,522,"12/12/2020, 7:46:45 AM","12/12/2020, 2:56:15 PM",morning
DL1PC7058,419,"12/12/2020, 6:06:24 AM","12/12/2020, 2:11:14 PM",morning
DL1PC7014,419,"12/12/2020, 6:48:00 AM","12/12/2020, 2:34:56 PM",morning
DL1PC7083,519,"12/12/2020, 6:21:35 AM","12/12/2020, 1:55:21 PM",morning
DL1PC7055,680,"12/12/2020, 8:20:40 AM","12/12/2020, 3:54:11 PM",morning
DL1PC7563,419,"12/12/2020, 6:44:22 AM","12/12/2020, 2:35:07 PM",morning
DL1PC7084,503,"12/12/2020, 6:46:56 AM","12/12/2020, 2:33:48 PM",morning
DL1PC7034,506,"12/12/2020, 6:05:28 AM","12/12/2020, 1:52:50 PM",morning
DL1PC7142,469,"12/12/2020, 7:00:14 AM","12/12/2020, 2:42:29 PM",morning
DL1PC7003,469,"12/12/2020, 7:57:21 AM","12/12/2020, 3:12:05 PM",morning
DL1PC7394,469,"12/12/2020, 6:25:23 AM","12/12/2020, 1:56:19 PM",morning
DL1PC7071,522,"12/12/2020, 8:52:11 AM","12/12/2020, 3:54:18 PM",morning
DL1PC9793,185,"12/12/2020, 8:07:24 AM","12/12/2020, 2:54:28 PM",morning
DL1PC9094,729,"12/12/2020, 7:12:51 AM","12/12/2020, 12:38:27 PM",morning
DL1PC7113,912,"12/12/2020, 5:43:24 AM","12/12/2020, 1:28:52 PM",morning
DL1PC7089,912,"12/12/2020, 5:52:28 AM","12/12/2020, 1:41:43 PM",morning
DL1PC7098,192,"12/12/2020, 7:07:08 AM","12/12/2020, 2:20:08 PM",morning
DL1PC9083,729,"12/12/2020, 7:45:00 AM","12/12/2020, 3:04:57 PM",morning
DL1PC9940,405,"12/12/2020, 6:48:56 AM","12/12/2020, 5:28:30 PM",morning
DL1PC9092,Air Port Ex-Press - 4,"12/12/2020, 4:49:10 AM","12/12/2020, 12:32:08 PM",morning
DL1PC7117,192,"12/12/2020, 6:16:05 AM","12/12/2020, 1:45:01 PM",morning
DL1PC9085,118EXT,"12/12/2020, 5:43:43 AM","12/12/2020, 1:45:36 PM",morning
DL1PC8232,185,"12/12/2020, 4:52:18 AM","12/12/2020, 12:32:01 PM",morning
DL1PC9800,882,"12/12/2020, 6:47:21 AM","12/12/2020, 1:51:45 PM",morning
DL1PC9519,SPECIAL-HIRE,"12/12/2020, 9:36:42 AM","12/12/2020, 5:28:11 PM",morning
DL1PC9878,192,"12/12/2020, 7:52:40 AM","12/12/2020, 2:32:24 PM",morning
DL1PC9565,192,"12/12/2020, 5:46:28 AM","12/12/2020, 1:25:16 PM",morning
DL1PC9574,921,"12/12/2020, 6:29:50 AM","12/12/2020, 1:35:45 PM",morning
DL1PC7116,SPECIAL-HIRE,"12/12/2020, 9:38:06 AM","12/12/2020, 5:28:15 PM",morning
DL1PC9086,392B,"12/12/2020, 5:44:18 AM","12/12/2020, 12:58:53 PM",morning
