bus_number,duty,ot,it,shift
DL1PC7085,423,"12/9/2020, 6:30:16 AM","12/9/2020, 2:06:17 PM",morning
DL1PC7094,419,"12/9/2020, 5:57:32 AM","12/9/2020, 1:20:45 PM",morning
DL1PC7136,419,"12/9/2020, 7:37:13 AM","12/9/2020, 3:15:34 PM",morning
DL1PC7386,522,"12/9/2020, 8:11:40 AM","12/9/2020, 4:17:59 PM",morning
DL1PC7301,469,"12/9/2020, 8:01:46 AM","12/9/2020, 3:40:14 PM",morning
DL1PC7150,469,"12/9/2020, 5:55:57 AM","12/9/2020, 1:18:24 PM",morning
DL1PC7305,469,"12/9/2020, 7:28:22 AM","12/9/2020, 3:08:54 PM",morning
DL1PC7153,680,"12/9/2020, 5:53:36 AM","12/9/2020, 4:18:41 PM",morning
DL1PC7056,419,"12/9/2020, 7:16:09 AM","12/9/2020, 2:05:52 PM",morning
DL1PC7067,522,"12/9/2020, 5:56:39 AM","12/9/2020, 12:20:47 PM",morning
DL1PC7218,680,"12/9/2020, 6:25:22 AM","12/9/2020, 1:52:09 PM",morning
DL1PC7048,522,"12/9/2020, 6:57:56 AM","12/9/2020, 2:02:03 PM",morning
DL1PC7078,SPECIAL-HIRE,"12/9/2020, 6:06:46 AM","12/9/2020, 4:27:03 PM",morning
DL1PC7309,522,"12/9/2020, 6:28:17 AM","12/9/2020, 1:41:30 PM",morning
DL1PC7058,522,"12/9/2020, 8:10:56 AM","12/9/2020, 3:20:43 PM",morning
DL1PC7014,419,"12/9/2020, 7:55:55 AM","12/9/2020, 3:42:16 PM",morning
DL1PC7083,419,"12/9/2020, 5:55:03 AM","12/9/2020, 1:05:05 PM",morning
DL1PC7055,500,"12/9/2020, 7:30:23 AM","12/9/2020, 2:46:35 PM",morning
DL1PC7563,419,"12/9/2020, 10:08:49 AM","12/9/2020, 6:12:18 PM",morning
DL1PC7011,469,"12/9/2020, 5:54:14 AM","12/9/2020, 1:19:39 PM",morning
DL1PC7084,503,"12/9/2020, 6:40:20 AM","12/9/2020, 2:18:08 PM",morning
DL1PC7034,506STL,"12/9/2020, 5:52:15 AM","12/9/2020, 1:20:13 PM",morning
DL1PC7142,469,"12/9/2020, 7:17:03 AM","12/9/2020, 2:55:01 PM",morning
DL1PC7003,419,"12/9/2020, 7:12:25 AM","12/9/2020, 2:11:22 PM",morning
DL1PC7394,469,"12/9/2020, 6:28:35 AM","12/9/2020, 5:25:53 PM",morning
DL1PC7071,469,"09/12/2020, 05:06:33","12/9/2020, 12:30:08 PM",morning
DL1PC9793,192,"12/9/2020, 5:16:30 AM","12/9/2020, 12:46:39 PM",morning
DL1PC9094,118EXT,"12/9/2020, 5:40:17 AM","12/9/2020, 12:50:53 PM",morning
DL1PC7113,912,"12/9/2020, 6:51:37 AM","12/9/2020, 2:04:10 PM",morning
DL1PC7089,912,"12/9/2020, 6:45:15 AM","12/9/2020, 1:41:12 PM",morning
DL1PC7098,116,"12/9/2020, 5:16:46 AM","12/9/2020, 1:35:41 PM",morning
DL1PC9083,392B,"12/9/2020, 7:10:41 AM","12/9/2020, 1:52:26 PM",morning
DL1PC9940,192,"12/9/2020, 5:39:20 AM","12/9/2020, 1:10:19 PM",morning
DL1PC9092,Air Port Ex-Press - 4,"12/9/2020, 5:05:42 AM","12/9/2020, 12:35:57 PM",morning
DL1PC7117,SPECIAL-HIRE,"12/9/2020, 8:22:12 AM","12/9/2020, 4:56:49 PM",morning
DL1PC9085,392B,"12/9/2020, 5:44:16 AM","12/9/2020, 1:09:36 PM",morning
DL1PC8232,271,"12/9/2020, 6:49:55 AM","12/9/2020, 1:59:12 PM",morning
DL1PC9800,882,"12/9/2020, 6:28:37 AM","12/9/2020, 1:48:13 PM",morning
DL1PC9519,SPECIAL-HIRE,"12/9/2020, 8:20:40 AM","12/9/2020, 4:56:43 PM",morning
DL1PC9878,SPECIAL-HIRE,"12/9/2020, 8:17:20 AM","12/9/2020, 4:56:35 PM",morning
DL1PC9565,26,"12/9/2020, 5:43:58 AM","12/9/2020, 12:53:27 PM",morning
DL1PC9574,SPECIAL-HIRE,"12/9/2020, 8:20:07 AM","12/9/2020, 4:56:42 PM",morning
DL1PC7116,192,"12/9/2020, 6:14:13 AM","12/9/2020, 1:53:21 PM",morning
DL1PC9097,729,"12/9/2020, 8:02:41 AM","12/9/2020, 3:16:45 PM",morning
DL1PC9086,392B,"12/9/2020, 7:21:10 AM","12/9/2020, 1:54:26 PM",morning
DL1PC9103,392B,"12/9/2020, 5:58:48 AM","12/9/2020, 1:40:57 PM",morning
DL1PC9517,921,"12/9/2020, 6:42:36 AM","12/9/2020, 2:29:01 PM",morning
DL1PC9080,Air Port Ex-Press - 4,"12/9/2020, 7:26:50 AM","12/9/2020, 1:57:42 PM",morning
DL1PC9892,SPECIAL-HIRE,"12/9/2020, 8:21:01 AM","12/9/2020, 4:56:45 PM",morning
DL1PC9848,912,"12/9/2020, 5:27:26 AM","12/9/2020, 12:39:18 PM",morning
DL1PC9521,405,"12/9/2020, 6:12:58 AM","12/9/2020, 5:30:40 PM",morning
DL1PC9101,118EXT,"12/9/2020, 6:26:05 AM","12/9/2020, 1:41:45 PM",morning
DL1PC8231,185,"12/9/2020, 4:33:18 AM","12/9/2020, 12:10:33 PM",morning
DL1PC9095,392B,"12/9/2020, 6:46:45 AM","12/9/2020, 1:49:45 PM",morning
DL1PC9093,729,"12/9/2020, 7:14:33 AM","12/9/2020, 3:27:05 PM",morning
DL1PC8878,185,"12/9/2020, 7:21:50 AM","12/9/2020, 2:43:47 PM",morning
DL1PC9518,192,"12/9/2020, 7:35:28 AM","12/9/2020, 2:44:24 PM",morning
DL1PC9078,118EXT,"12/9/2020, 6:57:36 AM","12/9/2020, 1:58:57 PM",morning
DL1PC9091,721,"12/9/2020, 7:27:22 AM","12/9/2020, 3:27:33 PM",morning
DL1PC7115,405,"12/9/2020, 5:59:52 AM","12/9/2020, 5:30:38 PM",morning
DL1PC9795,116,"12/9/2020, 7:28:00 AM","12/9/2020, 4:57:26 PM",morning
DL1PC9847,185,"12/9/2020, 5:37:18 AM","12/9/2020, 1:41:29 PM",morning
DL1PC7448,SPECIAL-HIRE,"12/9/2020, 8:21:54 AM","12/9/2020, 4:56:48 PM",morning
DL1PC7090,912,"12/9/2020, 7:45:53 AM","12/9/2020, 3:53:13 PM",morning
DL1PC7096,405,"12/9/2020, 6:26:29 AM","12/9/2020, 5:30:39 PM",morning
DL1PC9794,192,"12/9/2020, 5:33:04 AM","12/9/2020, 12:47:50 PM",morning
DL1PC9855,182A,"12/9/2020, 6:11:33 AM","12/9/2020, 1:42:54 PM",morning
DL1PC9516,SPECIAL-HIRE,"12/9/2020, 8:17:01 AM","12/9/2020, 4:56:34 PM",morning
DL1PC9849,SPECIAL-HIRE,"12/9/2020, 8:19:33 AM","12/9/2020, 4:56:41 PM",morning
DL1PC9520,SPECIAL-HIRE,"12/9/2020, 8:21:37 AM","12/9/2020, 4:56:47 PM",morning
DL1PC9089,Air Port Ex-Press - 4,"12/9/2020, 6:59:15 AM","12/9/2020, 1:54:04 PM",morning
DL1PC9082,Air Port Ex-Press - 4,"12/9/2020, 6:10:13 AM","12/9/2020, 1:59:08 PM",morning
DL1PC9096,721,"12/9/2020, 6:46:13 AM","12/9/2020, 11:30:45 AM",morning
DL1PC9853,192,"12/9/2020, 6:06:10 AM","12/9/2020, 1:41:05 PM",morning
DL1PC9792,192,"12/9/2020, 5:05:26 AM","12/9/2020, 12:29:42 PM",morning
DL1PC9571,SPECIAL-HIRE,"12/9/2020, 8:17:36 AM","12/9/2020, 4:56:36 PM",morning
DL1PC9566,SPECIAL-HIRE,"12/9/2020, 8:21:21 AM","12/9/2020, 4:56:46 PM",morning
DL1PC9801,185,"12/9/2020, 5:27:48 AM","12/9/2020, 12:32:04 PM",morning
DL1PC7097,192,"12/9/2020, 6:07:11 AM","12/9/2020, 1:19:35 PM",morning
DL1PC9081,729,"12/9/2020, 5:28:07 AM","12/9/2020, 12:28:03 PM",morning
DL1PC9856,SPECIAL-HIRE,"12/9/2020, 8:19:00 AM","12/9/2020, 4:56:40 PM",morning
DL1PC7100,912,"12/9/2020, 6:11:06 AM","12/9/2020, 1:36:16 PM",morning
DL1PC9079,118EXT,"12/9/2020, 7:02:49 AM","12/9/2020, 1:42:16 PM",morning
DL1PC9796,192,"12/9/2020, 7:07:35 AM","12/9/2020, 2:41:20 PM",morning
DL1PC9129,118EXT,"12/9/2020, 6:07:32 AM","12/9/2020, 1:03:03 PM",morning
DL1PC9098,721,"12/9/2020, 12:10:36 PM","12/9/2020, 2:28:32 PM",morning
DL1PC9799,SPECIAL-HIRE,"12/9/2020, 8:18:38 AM","12/9/2020, 4:56:38 PM",morning
DL1PC9791,192,"12/9/2020, 6:10:49 AM","12/9/2020, 1:58:07 PM",morning
DL1PC8877,192,"12/9/2020, 8:28:08 AM","12/9/2020, 4:57:35 PM",morning
DL1PC9088,729,"12/9/2020, 8:12:07 AM","12/9/2020, 3:08:51 PM",morning
DL1PC1308,764,"09/12/2020, 04:28:03","12/9/2020, 1:10:41 PM",morning
DL1PC0923,701,"12/9/2020, 7:05:29 AM","9/12/2020, 7:18:29 PM",morning
DL1PC0515,764,"12/9/2020, 7:17:56 AM","9/12/2020, 7:18:57 PM",morning
DL1PC0507,764,"12/9/2020, 9:12:18 AM","9/12/2020, 1:22:12 PM",morning
DL1PC0516,764,"12/9/2020, 6:19:31 AM","12/9/2020, 1:06:13 PM",morning
DL1PC0681,828,"12/9/2020, 7:05:54 AM","9/12/2020, 2:40:36 PM",morning
DL1PC1388,764,"12/9/2020, 6:39:16 AM","9/12/2020, 2:01:19 PM",morning
DL1PC1562,828,"12/9/2020, 9:04:05 AM","9/12/2020, 1:21:20 PM",morning
DL1PC0657,728,"12/9/2020, 9:09:30 AM","9/12/2020, 2:12:14 PM",morning
DL1PB9937,978,"12/9/2020, 9:06:28 AM","9/12/2020, 2:01:08 PM",morning
