bus_number,duty,ot,it,shift
DL1PC7310,469,"12/3/2020, 7:28:24 AM","12/3/2020, 3:03:45 PM",morning
DL1PC7044,423,"12/3/2020, 8:09:03 AM","12/3/2020, 3:22:09 PM",morning
DL1PC7393,419,"12/3/2020, 6:56:37 AM","12/3/2020, 2:46:23 PM",morning
DL1PC7013,419,"12/3/2020, 7:18:08 AM","12/3/2020, 8:51:29 PM",morning
DL1PC7056,520,"12/3/2020, 5:40:19 AM","12/3/2020, 1:16:00 PM",morning
DL1PC7002,522,"12/3/2020, 6:20:25 AM","12/3/2020, 1:09:38 PM",morning
DL1PC7082,522,"12/3/2020, 5:46:11 AM","12/3/2020, 12:19:22 PM",morning
DL1PC7036,516,"12/3/2020, 6:42:13 AM","12/3/2020, 2:46:37 PM",morning
DL1PC7301,469,"12/3/2020, 7:41:28 AM","12/3/2020, 3:04:57 PM",morning
DL1PC7084,503,"12/3/2020, 6:33:18 AM","12/3/2020, 2:23:06 PM",morning
DL1PC9074,680,"12/3/2020, 8:51:24 AM","12/3/2020, 4:13:24 PM",morning
DL1PC7047,419,"12/3/2020, 6:10:04 AM","12/3/2020, 1:57:22 PM",morning
DL1PC7060,419,"12/3/2020, 5:39:19 AM","12/3/2020, 12:51:09 PM",morning
DL1PC7021,469,"12/3/2020, 6:22:14 AM","12/3/2020, 1:49:28 PM",morning
DL1PC7309,522,"12/3/2020, 6:45:31 AM","12/3/2020, 1:48:50 PM",morning
DL1PC7050,411,"12/3/2020, 6:53:22 AM","12/3/2020, 2:45:19 PM",morning
DL1PC7085,423,"12/3/2020, 6:39:18 AM","12/3/2020, 2:09:48 PM",morning
DL1PC7027,423,"12/3/2020, 5:38:39 AM","12/3/2020, 1:09:33 PM",morning
DL1PC7051,500,"12/3/2020, 6:14:29 AM","12/3/2020, 1:50:00 PM",morning
DL1PC7008,419,"12/3/2020, 7:44:00 AM","12/3/2020, 3:18:21 PM",morning
DL1PC7032,680,"12/3/2020, 6:38:45 AM","12/3/2020, 1:58:43 PM",morning
DL1PC7061,423,"12/3/2020, 5:41:04 AM","12/3/2020, 12:22:57 PM",morning
DL1PC7010,469,"12/3/2020, 7:03:06 AM","12/3/2020, 2:23:54 PM",morning
DL1PC7014,419,"12/3/2020, 6:52:32 AM","12/3/2020, 2:23:43 PM",morning
DL1PC7069,500,"12/3/2020, 5:39:56 AM","12/3/2020, 1:15:53 PM",morning
DL1PC7041,542,"12/3/2020, 6:46:39 AM","12/3/2020, 2:23:33 PM",morning
DL1PC7031,411,"12/3/2020, 6:41:07 AM","12/3/2020, 2:46:44 PM",morning
DL1PC7048,505,"12/3/2020, 7:51:32 AM","12/3/2020, 3:21:50 PM",morning
DL1PC7066,519,"12/3/2020, 6:51:29 AM","12/3/2020, 2:46:10 PM",morning
DL1PC7305,522,"12/3/2020, 8:05:51 AM","12/3/2020, 3:55:43 PM",morning
DL1PC7018,505,"12/3/2020, 6:43:27 AM","12/3/2020, 2:05:37 PM",morning
DL1PC7042,423,"12/3/2020, 7:18:27 AM","12/3/2020, 2:52:32 PM",morning
DL1PC7057,505,"12/3/2020, 6:08:55 AM","12/3/2020, 1:49:36 PM",morning
DL1PC7080,500,"12/3/2020, 6:39:39 AM","12/3/2020, 1:58:20 PM",morning
DL1PC7035,SPECIAL-HIRE,"12/3/2020, 7:19:19 AM","12/3/2020, 4:09:46 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/3/2020, 7:19:03 AM","12/3/2020, 4:09:36 PM",morning
DL1PC7012,469,"12/3/2020, 6:11:52 AM","12/3/2020, 1:48:18 PM",morning
DL1PC7026,580,"12/3/2020, 6:13:13 AM","12/3/2020, 2:05:44 PM",morning
DL1PC7094,419,"12/3/2020, 5:53:27 AM","12/3/2020, 1:15:44 PM",morning
DL1PC7563,469,"12/3/2020, 8:11:39 AM","12/3/2020, 3:56:39 PM",morning
DL1PC7139,522,"12/3/2020, 8:36:43 AM","12/3/2020, 3:56:21 PM",morning
DL1PC7136,419,"12/3/2020, 7:23:35 AM","12/3/2020, 3:17:59 PM",morning
DL1PC7034,505,"12/3/2020, 6:44:53 AM","12/3/2020, 2:23:28 PM",morning
DL1PC7218,680,"12/3/2020, 6:21:38 AM","12/3/2020, 1:49:53 PM",morning
DL1PC7063,521,"12/3/2020, 6:08:26 AM","12/3/2020, 1:01:50 PM",morning
DL1PC7053,525,"12/3/2020, 5:46:36 AM","12/3/2020, 1:02:22 PM",morning
DL1PC7075,469,"12/3/2020, 9:01:43 AM","12/3/2020, 4:09:17 PM",morning
DL1PC7311,522,"12/3/2020, 7:42:39 AM","12/3/2020, 2:46:18 PM",morning
DL1PC7054,419,"12/3/2020, 6:51:56 AM","12/3/2020, 2:23:21 PM",morning
DL1PC7011,469,"12/3/2020, 5:45:46 AM","12/3/2020, 1:24:31 PM",morning
DL1PC7142,469,"12/3/2020, 7:28:41 AM","12/3/2020, 2:46:59 PM",morning
DL1PC7038,506STL,"12/3/2020, 6:09:23 AM","12/3/2020, 1:24:52 PM",morning
DL1PC7153,680,"12/3/2020, 5:52:10 AM","12/3/2020, 1:48:35 PM",morning
DL1PC7386,522,"12/3/2020, 8:21:03 AM","12/3/2020, 3:19:25 PM",morning
DL1PC7046,500,"12/3/2020, 7:02:44 AM","12/3/2020, 2:52:36 PM",morning
DL1PC7073,419,"12/3/2020, 6:53:45 AM","12/3/2020, 2:46:51 PM",morning
DL1PC7065,419,"03/12/2020, 05:01:20","12/3/2020, 12:27:28 PM",morning
DL1PC7385,469,"12/3/2020, 8:05:32 AM","12/3/2020, 3:55:32 PM",morning
DL1PC7022,423,"12/3/2020, 8:10:02 AM","12/3/2020, 3:55:58 PM",morning
DL1PC7150,469,"12/3/2020, 5:47:10 AM","12/3/2020, 1:02:03 PM",morning
DL1PC7147,419,"12/3/2020, 5:51:24 AM","12/3/2020, 1:30:16 PM",morning
DL1PC7052,522,"12/3/2020, 8:36:06 AM","12/3/2020, 3:55:50 PM",morning
DL1PC7004,419,"12/3/2020, 6:41:29 AM","12/3/2020, 2:22:58 PM",morning
DL1PC7028,500,"12/3/2020, 7:27:29 AM","12/3/2020, 3:18:28 PM",morning
DL1PC7573,522,"12/3/2020, 7:15:13 AM","12/3/2020, 2:05:53 PM",morning
DL1PC7040,680,"12/3/2020, 6:38:14 AM","12/3/2020, 2:23:13 PM",morning
DL1PC7025,519,"12/3/2020, 6:12:15 AM","12/3/2020, 1:49:43 PM",morning
DL1PC7023,680,"12/3/2020, 8:10:21 AM","12/3/2020, 3:17:50 PM",morning
DL1PC7058,419,"12/3/2020, 6:04:35 AM","12/3/2020, 1:57:28 PM",morning
DL1PC7072,520,"12/3/2020, 6:11:17 AM","12/3/2020, 2:06:03 PM",morning
DL1PC7033,419,"12/3/2020, 7:40:57 AM","12/3/2020, 3:56:03 PM",morning
DL1PC7045,680,"12/3/2020, 6:03:45 AM","12/3/2020, 1:50:09 PM",morning
DL1PC7394,469,"12/3/2020, 6:33:46 AM","12/3/2020, 1:58:59 PM",morning
DL1PC7078,469,"12/3/2020, 5:40:44 AM","12/3/2020, 12:40:38 PM",morning
DL1PC7024,423,"12/3/2020, 6:57:17 AM","12/3/2020, 2:23:49 PM",morning
DL1PC7092,419,"12/3/2020, 7:30:15 AM","12/3/2020, 2:53:07 PM",morning
DL1PC7059,423,"12/3/2020, 7:51:56 AM","12/3/2020, 3:19:18 PM",morning
DL1PC7003,419,"12/3/2020, 6:51:10 AM","12/3/2020, 2:23:38 PM",morning
DL1PC7049,411,"12/3/2020, 6:19:42 AM","12/3/2020, 2:22:47 PM",morning
DL1PC7030,516,"12/3/2020, 7:14:37 AM","12/3/2020, 2:45:26 PM",morning
DL1PC7071,469,"03/12/2020, 05:00:49","12/3/2020, 12:23:22 PM",morning
DL1PC7087,500,"12/3/2020, 5:53:03 AM","12/3/2020, 1:48:42 PM",morning
DL1PC7039,413,"12/3/2020, 6:18:51 AM","12/3/2020, 2:23:16 PM",morning
DL1PC7135,419,"12/3/2020, 7:40:18 AM","12/3/2020, 3:56:15 PM",morning
DL1PC7083,522,"12/3/2020, 6:59:22 AM","12/3/2020, 1:49:20 PM",morning
DL1PC7391,423,"12/3/2020, 8:09:27 AM","12/3/2020, 3:55:38 PM",morning
DL1PC7137,419,"12/3/2020, 6:42:45 AM","12/3/2020, 1:58:51 PM",morning
DL1PC7037,516,"12/3/2020, 7:27:52 AM","12/3/2020, 3:04:38 PM",morning
DL1PC7079,423,"12/3/2020, 7:52:17 AM","12/3/2020, 3:04:51 PM",morning
DL1PC7064,680,"12/3/2020, 8:48:01 AM","12/3/2020, 4:09:12 PM",morning
DL1PC7067,522,"12/3/2020, 5:39:00 AM","12/3/2020, 12:19:08 PM",morning
DL1PC9075,680,"12/3/2020, 8:10:46 AM","12/3/2020, 3:56:44 PM",morning
DL1PC7115,405,"12/3/2020, 6:47:40 AM","12/3/2020, 5:47:18 PM",morning
DL1PC9091,721,"12/3/2020, 7:38:13 AM","12/3/2020, 2:40:11 PM",morning
DL1PC8232,116,"12/3/2020, 5:06:26 AM","12/3/2020, 1:36:20 PM",morning
DL1PC9520,SPECIAL-HIRE,"12/3/2020, 8:26:17 AM","12/3/2020, 5:47:00 PM",morning
DL1PC9853,912,"12/3/2020, 5:13:35 AM","12/3/2020, 12:37:10 PM",morning
DL1PC9850,SPECIAL-HIRE,"12/3/2020, 8:26:56 AM","12/3/2020, 5:46:54 PM",morning
DL1PC9093,729,"12/3/2020, 7:15:21 AM","12/3/2020, 3:07:43 PM",morning
DL1PC7117,185,"12/3/2020, 4:44:40 AM","12/3/2020, 11:53:53 AM",morning
DL1PC9086,721,"12/3/2020, 7:05:30 AM","12/3/2020, 2:16:17 PM",morning
DL1PC9571,SPECIAL-HIRE,"12/3/2020, 8:25:57 AM","12/3/2020, 5:46:59 PM",morning
DL1PC9078,118EXT,"12/3/2020, 7:00:29 AM","12/3/2020, 1:47:28 PM",morning
DL1PC7116,SPECIAL-HIRE,"12/3/2020, 8:29:12 AM","12/3/2020, 5:47:05 PM",morning
DL1PC9081,Air Port Ex-Press - 4,"12/3/2020, 6:33:38 AM","12/3/2020, 1:53:06 PM",morning
DL1PC9516,26,"12/3/2020, 5:25:53 AM","12/3/2020, 1:21:56 PM",morning
DL1PC7097,192,"12/3/2020, 4:44:57 AM","12/3/2020, 12:20:48 PM",morning
DL1PC7098,192,"12/3/2020, 6:06:48 AM","12/3/2020, 2:16:43 PM",morning
DL1PC9940,116,"12/3/2020, 7:05:48 AM","12/3/2020, 2:49:20 PM",morning
DL1PC9084,392B,"12/3/2020, 6:43:06 AM","12/3/2020, 1:50:05 PM",morning
DL1PC9849,SPECIAL-HIRE,"12/3/2020, 8:27:38 AM","12/3/2020, 5:46:55 PM",morning
DL1PC8231,SPECIAL-HIRE,"12/3/2020, 8:28:06 AM","12/3/2020, 5:47:03 PM",morning
DL1PC9102,392B,"12/3/2020, 5:33:03 AM","12/3/2020, 1:21:39 PM",morning
DL1PC9095,729,"12/3/2020, 8:15:05 AM","12/3/2020, 3:27:03 PM",morning
DL1PC9518,405,"12/3/2020, 7:06:10 AM","12/3/2020, 2:49:28 PM",morning
DL1PC9094,118EXT,"12/3/2020, 6:19:17 AM","12/3/2020, 12:36:36 PM",morning
