bus_number,duty,ot,it,shift
DL1PC7137,419,"11/12/2020, 06:29:13","11/12/2020, 13:52:54",morning
DL1PC7573,522,"11/12/2020, 08:09:30","11/12/2020, 14:47:07",morning
DL1PC7002,522,"11/12/2020, 06:25:26","11/12/2020, 13:14:10",morning
DL1PC7039,413,"11/12/2020, 06:13:05","11/12/2020, 14:26:34",morning
DL1PC7049,411,"11/12/2020, 06:13:54","11/12/2020, 14:26:24",morning
DL1PC7047,419,"11/12/2020, 06:11:41","11/12/2020, 13:53:06",morning
DL1PC7012,469,"11/12/2020, 06:06:30","11/12/2020, 13:50:31",morning
DL1PC7050,500,"11/12/2020, 07:14:05","11/12/2020, 14:45:01",morning
DL1PC7041,542,"11/12/2020, 06:26:20","11/12/2020, 13:52:13",morning
DL1PC7037,522,"11/12/2020, 06:59:12","11/12/2020, 13:52:27",morning
DL1PC7053,525,"11/12/2020, 05:38:57","11/12/2020, 13:13:44",morning
DL1PC7060,419,"11/12/2020, 05:01:57","11/12/2020, 12:38:25",morning
DL1PC7018,505,"11/12/2020, 06:19:26","11/12/2020, 14:26:52",morning
DL1PC7393,419,"11/12/2020, 06:00:34","11/12/2020, 14:30:36",morning
DL1PC7042,500,"11/12/2020, 06:02:40","11/12/2020, 16:11:35",morning
DL1PC7028,500,"11/12/2020, 07:34:49","11/12/2020, 15:36:09",morning
DL1PC7051,520,"11/12/2020, 05:27:18","11/12/2020, 13:30:25",morning
DL1PC7024,516,"11/12/2020, 06:47:39","11/12/2020, 14:44:41",morning
DL1PC7092,419,"11/12/2020, 07:27:07","11/12/2020, 15:08:47",morning
DL1PC7066,519,"11/12/2020, 06:48:57","11/12/2020, 14:44:36",morning
DL1PC7040,680,"11/12/2020, 06:34:34","11/12/2020, 14:29:21",morning
DL1PC7069,500,"11/12/2020, 05:29:54","11/12/2020, 13:14:03",morning
DL1PC7075,423,"11/12/2020, 06:59:41","11/12/2020, 14:29:50",morning
DL1PC7029,423,"11/12/2020, 08:07:02","11/12/2020, 14:26:30",morning
DL1PC7063,419,"11/12/2020, 07:56:28","11/12/2020, 15:36:43",morning
DL1PC7086,423,"11/12/2020, 07:59:52","11/12/2020, 14:49:32",morning
DL1PC7026,580,"11/12/2020, 06:22:28","11/12/2020, 16:11:29",morning
DL1PC7033,419,"11/12/2020, 06:58:40","11/12/2020, 14:44:57",morning
DL1PC7072,520,"11/12/2020, 06:17:51","11/12/2020, 14:27:39",morning
DL1PC7044,522,"11/12/2020, 05:46:14","11/12/2020, 13:14:28",morning
DL1PC7004,419,"11/12/2020, 06:27:46","11/12/2020, 14:26:55",morning
DL1PC7038,680,"11/12/2020, 08:39:29","11/12/2020, 16:11:32",morning
DL1PC7046,680,"11/12/2020, 08:14:35","11/12/2020, 15:37:40",morning
DL1PC7310,469,"11/12/2020, 08:17:42","11/12/2020, 15:47:49",morning
DL1PC7391,469,"11/12/2020, 07:05:58","11/12/2020, 14:29:57",morning
DL1PC7082,680,"11/12/2020, 06:46:37","11/12/2020, 14:26:40",morning
DL1PC7062,522,"11/12/2020, 05:26:36","11/12/2020, 12:04:18",morning
DL1PC7013,419,"11/12/2020, 07:29:57","11/12/2020, 15:09:21",morning
DL1PC7135,522,"11/12/2020, 07:04:13","11/12/2020, 14:27:28",morning
DL1PC7079,423,"11/12/2020, 07:54:45","11/12/2020, 15:09:12",morning
DL1PC7065,419,"11/12/2020, 05:01:33","11/12/2020, 12:27:06",morning
DL1PC7147,469,"11/12/2020, 05:52:45","11/12/2020, 13:30:46",morning
DL1PC7043,500,"11/12/2020, 06:42:26","11/12/2020, 14:23:44",morning
DL1PC7081,SPECIAL-HIRE,"11/12/2020, 08:38:54","11/12/2020, 15:49:04",morning
DL1PC7087,500,"11/12/2020, 05:56:25","11/12/2020, 13:50:41",morning
DL1PC7385,469,"11/12/2020, 07:54:12","11/12/2020, 15:39:21",morning
DL1PC7061,516,"11/12/2020, 07:15:39","11/12/2020, 14:44:49",morning
DL1PC7045,680,"11/12/2020, 05:59:32","11/12/2020, 13:30:56",morning
DL1PC7021,423,"11/12/2020, 07:49:34","11/12/2020, 14:44:53",morning
DL1PC7064,469,"11/12/2020, 05:55:22","11/12/2020, 13:52:08",morning
DL1PC7030,423,"11/12/2020, 08:25:49","11/12/2020, 15:36:13",morning
DL1PC7035,SPECIAL-HIRE,"11/12/2020, 08:37:54","11/12/2020, 15:49:22",morning
DL1PC9074,419,"11/12/2020, 07:42:04","11/12/2020, 15:39:06",morning
DL1PC7020,411,"11/12/2020, 07:00:08","11/12/2020, 14:44:27",morning
DL1PC7054,505,"11/12/2020, 06:39:46","11/12/2020, 14:27:59",morning
DL1PC7059,423,"11/12/2020, 07:53:17","11/12/2020, 15:34:56",morning
DL1PC9075,469,"11/12/2020, 07:09:51","11/12/2020, 14:44:16",morning
DL1PC7022,519,"11/12/2020, 06:23:00","11/12/2020, 13:51:32",morning
DL1PC7036,419,"11/12/2020, 06:35:25","11/12/2020, 14:30:19",morning
DL1PC7057,505,"11/12/2020, 06:12:23","11/12/2020, 13:52:18",morning
DL1PC7027,423,"11/12/2020, 05:28:23","11/12/2020, 13:13:49",morning
DL1PC7023,469,"11/12/2020, 08:46:45","11/12/2020, 18:19:41",morning
DL1PC7052,423,"11/12/2020, 06:28:23","11/12/2020, 14:27:57",morning
DL1PC7139,419,"11/12/2020, 05:47:39","11/12/2020, 13:30:50",morning
DL1PC7074,521,"11/12/2020, 05:57:29","11/12/2020, 13:13:55",morning
DL1PC7080,423,"11/12/2020, 05:11:58","11/12/2020, 12:32:41",morning
DL1PC7311,522,"11/12/2020, 07:57:36","11/12/2020, 15:34:41",morning
DL1PC7008,419,"11/12/2020, 07:44:32","11/12/2020, 15:36:18",morning
DL1PC7076,522,"11/12/2020, 08:05:26","11/12/2020, 15:36:30",morning
DL1PC7085,680,"11/12/2020, 08:16:54","11/12/2020, 15:36:36",morning
DL1PC7094,419,"11/12/2020, 05:36:50","11/12/2020, 13:30:34",morning
DL1PC7136,419,"11/12/2020, 07:32:05","11/12/2020, 15:09:33",morning
DL1PC7386,469,"11/12/2020, 07:32:44","11/12/2020, 15:34:51",morning
DL1PC7301,522,"11/12/2020, 08:28:05","11/12/2020, 14:23:16",morning
DL1PC7150,469,"11/12/2020, 05:30:29","11/12/2020, 13:13:33",morning
DL1PC7305,469,"11/12/2020, 07:11:37","11/12/2020, 15:08:55",morning
DL1PC7056,522,"11/12/2020, 08:13:01","11/12/2020, 15:36:24",morning
DL1PC7218,680,"11/12/2020, 06:21:56","11/12/2020, 14:23:15",morning
DL1PC7048,469,"11/12/2020, 05:14:03","11/12/2020, 12:45:09",morning
DL1PC7078,SPECIAL-HIRE,"11/12/2020, 08:40:29","11/12/2020, 15:49:05",morning
DL1PC7309,522,"11/12/2020, 06:33:14","11/12/2020, 13:51:08",morning
DL1PC7058,419,"11/12/2020, 05:58:50","11/12/2020, 14:26:48",morning
DL1PC7014,419,"11/12/2020, 06:45:29","11/12/2020, 14:30:08",morning
DL1PC7083,411,"11/12/2020, 06:50:36","11/12/2020, 14:31:07",morning
DL1PC7055,516,"11/12/2020, 07:23:31","11/12/2020, 14:49:41",morning
DL1PC7563,680,"11/12/2020, 05:50:41","11/12/2020, 13:32:48",morning
DL1PC7084,503,"11/12/2020, 06:39:16","11/12/2020, 14:29:31",morning
DL1PC7034,506,"11/12/2020, 05:49:34","11/12/2020, 13:30:40",morning
DL1PC7142,680,"11/12/2020, 08:28:32","11/12/2020, 16:11:28",morning
DL1PC7003,419,"11/12/2020, 06:44:11","11/12/2020, 14:29:36",morning
DL1PC7394,469,"11/12/2020, 06:32:31","11/12/2020, 13:52:39",morning
DL1PC7071,469,"11/12/2020, 04:46:35","11/12/2020, 12:32:54",morning
DL1PC9793,192,"12/11/2020, 5:34:45 AM","12/11/2020, 12:30:40 PM",morning
DL1PC7089,185,"12/11/2020, 7:05:37 AM","12/11/2020, 2:42:47 PM",morning
DL1PC7098,405,"12/11/2020, 6:59:47 AM","12/11/2020, 5:39:15 PM",morning
DL1PC9083,729,"12/11/2020, 8:47:21 AM","12/11/2020, 3:42:48 PM",morning
DL1PC9940,912,"12/11/2020, 7:52:22 AM","12/11/2020, 3:18:57 PM",morning
DL1PC9092,721,"12/11/2020, 6:57:47 AM","12/11/2020, 2:04:28 PM",morning
DL1PC7117,192,"12/11/2020, 5:02:27 AM","12/11/2020, 12:30:22 PM",morning
DL1PC9085,118EXT,"12/11/2020, 6:05:40 AM","12/11/2020, 12:32:48 PM",morning
DL1PC8232,192,"12/11/2020, 8:59:31 AM","12/11/2020, 3:40:04 PM",morning
DL1PC9800,882,"12/11/2020, 6:24:02 AM","12/11/2020, 1:44:32 PM",morning
DL1PC9519,SPECIAL-HIRE,"12/11/2020, 9:26:43 AM","12/11/2020, 4:28:05 PM",morning
DL1PC9878,405,"12/11/2020, 6:16:20 AM","12/11/2020, 5:27:40 PM",morning
DL1PC9565,192,"12/11/2020, 5:58:22 AM","12/11/2020, 1:48:13 PM",morning
DL1PC9574,SPECIAL-HIRE,"12/11/2020, 9:26:25 AM","12/11/2020, 3:43:24 PM",morning
DL1PC7116,SPECIAL-HIRE,"12/11/2020, 9:29:00 AM","12/11/2020, 4:28:08 PM",morning
DL1PC9097,729,"12/11/2020, 8:15:16 AM","12/11/2020, 2:53:54 PM",morning
DL1PC9086,Air Port Ex-Press - 4,"12/11/2020, 7:00:43 AM","12/11/2020, 2:08:38 PM",morning
DL1PC9103,729,"12/11/2020, 5:34:21 AM","12/11/2020, 12:27:56 PM",morning
DL1PC9517,271,"12/11/2020, 6:11:37 AM","12/11/2020, 1:50:58 PM",morning
DL1PC9080,392B,"12/11/2020, 7:17:20 AM","12/11/2020, 1:59:16 PM",morning
DL1PC9892,SPECIAL-HIRE,"12/11/2020, 9:27:04 AM","12/11/2020, 4:28:06 PM",morning
DL1PC9848,921,"12/11/2020, 6:31:31 AM","12/11/2020, 1:54:12 PM",morning
DL1PC9084,392B,"12/11/2020, 7:00:20 AM","12/11/2020, 1:39:29 PM",morning
DL1PC9521,405,"12/11/2020, 6:11:07 AM","12/11/2020, 5:16:44 PM",morning
DL1PC9101,118EXT,"12/11/2020, 6:14:54 AM","12/11/2020, 1:21:40 PM",morning
DL1PC8231,SPECIAL-HIRE,"12/11/2020, 9:24:50 AM","12/11/2020, 4:28:00 PM",morning
DL1PC9095,Air Port Ex-Press - 4,"12/11/2020, 5:02:42 AM","12/11/2020, 12:20:38 PM",morning
DL1PC9852,405,"12/11/2020, 7:02:18 AM","12/11/2020, 2:13:22 PM",morning
DL1PC8878,182A,"12/11/2020, 6:07:26 AM","12/11/2020, 1:20:25 PM",morning
DL1PC9518,912,"12/11/2020, 5:07:14 AM","12/11/2020, 12:29:55 PM",morning
DL1PC9078,118EXT,"12/11/2020, 7:01:08 AM","12/11/2020, 1:46:47 PM",morning
DL1PC9091,729,"12/11/2020, 7:18:49 AM","12/11/2020, 2:43:36 PM",morning
DL1PC7115,912,"12/11/2020, 5:57:33 AM","12/11/2020, 1:37:26 PM",morning
DL1PC9795,192,"12/11/2020, 5:35:11 AM","12/11/2020, 1:21:30 PM",morning
DL1PC9847,192,"12/11/2020, 6:52:44 AM","12/11/2020, 2:23:09 PM",morning
DL1PC7448,SPECIAL-HIRE,"12/11/2020, 9:28:17 AM","12/11/2020, 4:28:08 PM",morning
