bus_number,duty,ot,it,shift
DL1PC7137,419,"12/13/2020, 6:24:43 AM","12/13/2020, 2:07:58 PM",morning
DL1PC7573,419,"12/13/2020, 5:54:39 AM","12/13/2020, 2:06:46 PM",morning
DL1PC7002,522,"12/13/2020, 6:22:54 AM","12/13/2020, 1:04:12 PM",morning
DL1PC7039,413,"12/13/2020, 6:23:32 AM","12/13/2020, 2:08:33 PM",morning
DL1PC7047,419,"12/13/2020, 6:15:44 AM","12/13/2020, 2:08:21 PM",morning
DL1PC7041,411,"12/13/2020, 6:27:09 AM","12/13/2020, 2:08:14 PM",morning
DL1PC7037,516,"12/13/2020, 7:23:14 AM","12/13/2020, 3:16:05 PM",morning
DL1PC7053,525,"12/13/2020, 5:54:12 AM","12/13/2020, 2:06:38 PM",morning
DL1PC7060,419,"13/12/2020, 05:08:58","12/13/2020, 12:41:23 PM",morning
DL1PC7018,469,"12/13/2020, 5:51:40 AM","12/13/2020, 2:06:54 PM",morning
DL1PC7393,469,"12/13/2020, 8:22:14 AM","12/13/2020, 3:36:20 PM",morning
DL1PC7051,500,"12/13/2020, 6:47:46 AM","12/13/2020, 2:09:40 PM",morning
DL1PC7024,516,"12/13/2020, 6:50:29 AM","12/13/2020, 2:40:00 PM",morning
DL1PC7092,419,"12/13/2020, 7:12:20 AM","12/13/2020, 2:53:14 PM",morning
DL1PC7066,519,"12/13/2020, 6:58:59 AM","12/13/2020, 2:40:27 PM",morning
DL1PC7040,680,"12/13/2020, 6:25:34 AM","12/13/2020, 2:22:44 PM",morning
DL1PC7069,469,"13/12/2020, 04:52:08","12/13/2020, 12:31:14 PM",morning
DL1PC7075,423,"12/13/2020, 6:49:21 AM","12/13/2020, 2:39:17 PM",morning
DL1PC7029,423,"13/12/2020, 05:02:07","12/13/2020, 12:41:16 PM",morning
DL1PC7063,521,"12/13/2020, 5:57:21 AM","12/13/2020, 1:03:57 PM",morning
DL1PC7025,680,"12/13/2020, 8:21:24 AM","12/13/2020, 4:00:22 PM",morning
DL1PC7086,423,"12/13/2020, 8:21:42 AM","12/13/2020, 3:30:57 PM",morning
DL1PC7026,580,"12/13/2020, 6:16:27 AM","12/13/2020, 2:08:27 PM",morning
DL1PC7033,500,"12/13/2020, 6:01:11 AM","12/13/2020, 2:08:10 PM",morning
DL1PC7072,522,"12/13/2020, 8:20:47 AM","12/13/2020, 3:31:17 PM",morning
DL1PC7044,469,"12/13/2020, 5:57:51 AM","12/13/2020, 12:40:57 PM",morning
DL1PC7038,516,"12/13/2020, 7:02:12 AM","12/13/2020, 2:53:00 PM",morning
DL1PC7046,419,"12/13/2020, 6:30:41 AM","12/13/2020, 2:23:16 PM",morning
DL1PC7310,419,"12/13/2020, 7:12:39 AM","12/13/2020, 2:40:33 PM",morning
DL1PC7391,469,"12/13/2020, 5:52:09 AM","12/13/2020, 2:07:08 PM",morning
DL1PC7062,522,"12/13/2020, 5:56:06 AM","12/13/2020, 12:31:21 PM",morning
DL1PC7073,419,"12/13/2020, 6:49:43 AM","12/13/2020, 2:38:57 PM",morning
DL1PC7013,419,"12/13/2020, 7:22:49 AM","12/13/2020, 3:03:35 PM",morning
DL1PC7135,469,"12/13/2020, 7:48:17 AM","12/13/2020, 3:04:48 PM",morning
DL1PC7079,423,"12/13/2020, 7:53:33 AM","12/13/2020, 3:16:53 PM",morning
DL1PC7065,419,"13/12/2020, 05:00:25","12/13/2020, 12:30:59 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/13/2020, 7:00:56 AM","12/13/2020, 4:06:33 PM",morning
