bus_number,duty,ot,it,shift
DL1PC7310,419,"12/7/2020, 7:58:47 AM","12/7/2020, 3:45:11 PM",morning
DL1PC7393,419,"12/7/2020, 7:28:41 AM","12/7/2020, 2:42:17 PM",morning
DL1PC7013,419,"12/7/2020, 8:18:44 AM","12/7/2020, 3:06:36 PM",morning
DL1PC7056,500,"12/7/2020, 7:17:09 AM","12/7/2020, 3:01:29 PM",morning
DL1PC7002,522,"12/7/2020, 6:17:19 AM","12/7/2020, 1:37:43 PM",morning
DL1PC7082,522,"12/7/2020, 5:50:35 AM","12/7/2020, 12:31:36 PM",morning
DL1PC7036,516,"12/7/2020, 7:07:26 AM","12/7/2020, 2:41:46 PM",morning
DL1PC7301,469,"12/7/2020, 8:18:19 AM","12/7/2020, 5:45:25 PM",morning
DL1PC7062,680,"12/7/2020, 10:28:59 AM","12/7/2020, 4:24:18 PM",morning
DL1PC7084,503,"12/7/2020, 6:34:37 AM","12/7/2020, 2:16:08 PM",morning
DL1PC9074,469,"12/7/2020, 7:32:42 AM","12/7/2020, 2:52:28 PM",morning
DL1PC7043,411,"12/7/2020, 7:06:43 AM","12/7/2020, 2:26:16 PM",morning
DL1PC7047,419,"12/7/2020, 6:19:01 AM","12/7/2020, 1:57:46 PM",morning
DL1PC7060,419,"12/7/2020, 5:54:09 AM","12/7/2020, 12:47:06 PM",morning
DL1PC7021,519,"12/7/2020, 6:18:25 AM","12/7/2020, 1:40:48 PM",morning
DL1PC7309,522,"12/7/2020, 7:04:02 AM","12/7/2020, 1:40:41 PM",morning
DL1PC7050,522,"12/7/2020, 8:20:27 AM","12/7/2020, 3:27:31 PM",morning
DL1PC7085,423,"12/7/2020, 6:44:57 AM","12/7/2020, 2:09:48 PM",morning
DL1PC7027,423,"12/7/2020, 5:51:32 AM","12/7/2020, 1:00:37 PM",morning
DL1PC7051,423,"12/7/2020, 9:10:01 AM","12/7/2020, 3:21:45 PM",morning
DL1PC7008,419,"12/7/2020, 8:36:47 AM","12/7/2020, 3:20:53 PM",morning
DL1PC7032,680,"12/7/2020, 6:20:28 AM","12/7/2020, 5:45:16 PM",morning
DL1PC7061,520,"12/7/2020, 5:53:38 AM","12/7/2020, 1:38:23 PM",morning
DL1PC7010,469,"12/7/2020, 7:05:48 AM","12/7/2020, 2:17:53 PM",morning
DL1PC7014,419,"12/7/2020, 6:48:18 AM","12/7/2020, 2:22:39 PM",morning
DL1PC7076,423,"12/7/2020, 7:59:47 AM","12/7/2020, 3:17:48 PM",morning
DL1PC7069,500,"12/7/2020, 5:52:48 AM","12/7/2020, 1:38:30 PM",morning
DL1PC7041,542,"12/7/2020, 6:45:25 AM","12/7/2020, 5:45:19 PM",morning
DL1PC7031,411,"12/7/2020, 7:08:12 AM","12/7/2020, 2:42:10 PM",morning
DL1PC7066,519,"12/7/2020, 6:45:45 AM","12/7/2020, 2:47:40 PM",morning
DL1PC7018,505,"12/7/2020, 6:30:27 AM","12/7/2020, 1:58:37 PM",morning
DL1PC7020,SPECIAL-HIRE,"12/7/2020, 6:02:38 AM","12/7/2020, 4:19:40 PM",morning
DL1PC7042,469,"12/7/2020, 6:33:28 AM","12/7/2020, 1:58:13 PM",morning
DL1PC7057,505,"12/7/2020, 6:00:46 AM","12/7/2020, 1:45:06 PM",morning
DL1PC7080,500,"12/7/2020, 6:43:58 AM","12/7/2020, 1:52:58 PM",morning
DL1PC7035,SPECIAL-HIRE,"12/7/2020, 6:02:51 AM","12/7/2020, 4:19:27 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/7/2020, 6:03:09 AM","12/7/2020, 4:19:34 PM",morning
DL1PC7012,419,"12/7/2020, 11:34:36 AM","12/7/2020, 4:26:17 PM",morning
DL1PC7026,423,"12/7/2020, 8:48:20 AM","12/7/2020, 3:21:35 PM",morning
DL1PC7094,419,"12/7/2020, 5:48:20 AM","12/7/2020, 1:40:33 PM",morning
DL1PC7563,469,"12/7/2020, 11:35:28 AM","12/7/2020, 5:45:24 PM",morning
DL1PC7139,419,"12/7/2020, 5:56:50 AM","12/7/2020, 1:39:49 PM",morning
DL1PC7136,522,"12/7/2020, 8:35:40 AM","12/7/2020, 3:44:19 PM",morning
DL1PC7034,506STL,"12/7/2020, 5:49:42 AM","12/7/2020, 1:38:57 PM",morning
DL1PC7218,680,"12/7/2020, 6:32:01 AM","12/7/2020, 1:50:25 PM",morning
DL1PC7063,521,"12/7/2020, 5:59:07 AM","12/7/2020, 12:46:21 PM",morning
DL1PC7053,525,"12/7/2020, 5:51:06 AM","12/7/2020, 1:04:02 PM",morning
DL1PC7075,423,"12/7/2020, 7:06:14 AM","12/7/2020, 2:15:44 PM",morning
DL1PC7311,522,"12/7/2020, 7:31:48 AM","12/7/2020, 2:42:03 PM",morning
DL1PC7054,505,"12/7/2020, 7:04:50 AM","12/7/2020, 2:19:38 PM",morning
DL1PC7011,469,"12/7/2020, 5:48:51 AM","12/7/2020, 1:39:03 PM",morning
DL1PC7038,423,"12/7/2020, 7:20:02 AM","12/7/2020, 2:41:38 PM",morning
DL1PC7086,680,"12/7/2020, 7:05:23 AM","12/7/2020, 2:11:52 PM",morning
DL1PC7153,680,"12/7/2020, 5:49:23 AM","12/7/2020, 1:37:55 PM",morning
DL1PC7386,522,"12/7/2020, 7:59:17 AM","12/7/2020, 3:07:53 PM",morning
DL1PC7046,500,"12/7/2020, 7:32:09 AM","12/7/2020, 3:13:35 PM",morning
DL1PC7073,419,"12/7/2020, 7:20:42 AM","12/7/2020, 2:28:06 PM",morning
DL1PC7385,469,"12/7/2020, 11:33:05 AM","12/7/2020, 4:26:28 PM",morning
DL1PC7055,500,"12/7/2020, 6:17:43 AM","12/7/2020, 1:50:18 PM",morning
DL1PC7029,423,"12/7/2020, 5:53:09 AM","12/7/2020, 12:30:44 PM",morning
DL1PC7150,469,"12/7/2020, 5:52:23 AM","12/7/2020, 12:57:36 PM",morning
DL1PC7147,522,"12/7/2020, 7:08:41 AM","12/7/2020, 1:51:15 PM",morning
DL1PC7052,469,"12/7/2020, 5:08:18 AM","12/7/2020, 12:37:04 PM",morning
DL1PC7004,419,"12/7/2020, 6:21:43 AM","12/7/2020, 2:04:16 PM",morning
DL1PC7028,419,"12/7/2020, 6:43:34 AM","12/7/2020, 2:20:53 PM",morning
DL1PC7573,469,"12/7/2020, 7:21:07 AM","12/7/2020, 2:30:28 PM",morning
DL1PC7040,419,"12/7/2020, 7:39:38 AM","12/7/2020, 3:37:47 PM",morning
DL1PC7025,680,"12/7/2020, 6:01:04 AM","12/7/2020, 1:34:24 PM",morning
DL1PC7023,522,"12/7/2020, 7:04:24 AM","12/7/2020, 1:48:58 PM",morning
DL1PC7058,423,"12/7/2020, 7:49:46 AM","12/7/2020, 3:13:39 PM",morning
DL1PC7072,520,"12/7/2020, 6:30:51 AM","12/7/2020, 2:05:07 PM",morning
DL1PC7033,469,"12/7/2020, 9:41:59 AM","12/7/2020, 5:45:27 PM",morning
DL1PC7045,680,"12/7/2020, 11:33:55 AM","12/7/2020, 1:45:16 PM",morning
DL1PC7394,469,"12/7/2020, 6:31:36 AM","12/7/2020, 4:24:07 PM",morning
DL1PC7078,419,"12/7/2020, 5:03:29 AM","12/7/2020, 12:30:34 PM",morning
DL1PC7024,580,"12/7/2020, 6:32:47 AM","12/7/2020, 1:49:00 PM",morning
DL1PC7092,419,"12/7/2020, 7:28:14 AM","12/7/2020, 3:09:35 PM",morning
DL1PC7059,516,"12/7/2020, 7:19:23 AM","12/7/2020, 3:34:15 PM",morning
DL1PC7049,411,"12/7/2020, 6:34:02 AM","12/7/2020, 2:25:34 PM",morning
DL1PC7030,516,"12/7/2020, 7:15:19 AM","12/7/2020, 2:42:09 PM",morning
DL1PC7071,469,"12/7/2020, 4:53:12 AM","12/7/2020, 12:30:24 PM",morning
DL1PC7087,500,"12/7/2020, 5:58:03 AM","12/7/2020, 1:35:15 PM",morning
DL1PC7039,413,"12/7/2020, 6:16:54 AM","12/7/2020, 2:29:41 PM",morning
DL1PC7135,469,"12/7/2020, 5:50:11 AM","12/7/2020, 1:40:06 PM",morning
DL1PC7083,522,"12/7/2020, 8:21:28 AM","12/7/2020, 3:27:39 PM",morning
DL1PC7391,419,"12/7/2020, 6:47:57 AM","12/7/2020, 2:18:15 PM",morning
DL1PC7137,419,"12/7/2020, 6:21:02 AM","12/7/2020, 1:48:45 PM",morning
DL1PC7037,419,"12/7/2020, 6:44:23 AM","12/7/2020, 2:09:39 PM",morning
DL1PC7079,423,"12/7/2020, 7:55:19 AM","12/7/2020, 3:13:28 PM",morning
DL1PC7067,522,"12/7/2020, 5:51:56 AM","12/7/2020, 12:30:58 PM",morning
DL1PC9075,680,"12/7/2020, 8:20:57 AM","12/7/2020, 4:00:18 PM",morning
DL1PC7074,680,"12/7/2020, 8:28:11 AM","12/7/2020, 4:12:34 PM",morning
DL1PC7115,912,"12/7/2020, 5:58:33 AM","12/7/2020, 1:26:06 PM",morning
DL1PC9091,721,"12/7/2020, 7:49:47 AM","12/7/2020, 2:43:06 PM",morning
DL1PC8232,192,"12/7/2020, 5:59:27 AM","12/7/2020, 1:46:59 PM",morning
DL1PC9520,192,"12/7/2020, 5:34:40 AM","12/7/2020, 12:28:51 PM",morning
DL1PC9853,405,"12/7/2020, 7:22:35 AM","12/7/2020, 5:31:52 PM",morning
DL1PC9850,405,"12/7/2020, 6:48:14 AM","12/7/2020, 5:20:01 PM",morning
DL1PC7117,185,"12/7/2020, 5:35:36 AM","12/7/2020, 12:32:33 PM",morning
DL1PC9086,392B,"12/7/2020, 7:50:09 AM","12/7/2020, 2:08:40 PM",morning
DL1PC9571,SPECIAL-HIRE,"12/7/2020, 9:29:28 AM","12/7/2020, 4:24:42 PM",morning
DL1PC9078,118EXT,"12/7/2020, 7:21:22 AM","12/7/2020, 1:35:29 PM",morning
DL1PC7116,SPECIAL-HIRE,"12/7/2020, 9:31:24 AM","12/7/2020, 4:26:47 PM",morning
DL1PC9081,Air Port Ex-Press - 4,"12/7/2020, 6:04:48 AM","12/7/2020, 2:03:16 PM",morning
DL1PC9516,SPECIAL-HIRE,"12/7/2020, 9:28:57 AM","12/7/2020, 4:26:13 PM",morning
DL1PC7097,921,"12/7/2020, 6:46:56 AM","12/7/2020, 2:00:27 PM",morning
DL1PC7098,912,"12/7/2020, 7:58:41 AM","12/7/2020, 3:31:01 PM",morning
DL1PC9940,192,"12/7/2020, 6:00:45 AM","12/7/2020, 1:43:32 PM",morning
DL1PC9084,118EXT,"12/7/2020, 7:21:09 AM","12/7/2020, 2:02:56 PM",morning
DL1PC9849,SPECIAL-HIRE,"12/7/2020, 9:30:08 AM","12/7/2020, 4:23:39 PM",morning
DL1PC9796,192,"12/7/2020, 5:36:19 AM","12/7/2020, 1:47:45 PM",morning
DL1PC8231,SPECIAL-HIRE,"12/7/2020, 9:31:09 AM","12/7/2020, 4:26:20 PM",morning
DL1PC9102,392B,"12/7/2020, 5:37:41 AM","12/7/2020, 1:44:25 PM",morning
DL1PC9095,729,"12/7/2020, 7:20:36 AM","12/7/2020, 2:59:10 PM",morning
DL1PC9094,118EXT,"12/7/2020, 5:37:26 AM","12/7/2020, 1:50:21 PM",morning
DL1PC9101,118EXT,"12/7/2020, 6:22:28 AM","12/7/2020, 1:43:56 PM",morning
DL1PC9565,26,"12/7/2020, 5:36:36 AM","12/7/2020, 1:51:49 PM",morning
DL1PC9791,912,"12/7/2020, 5:57:34 AM","12/7/2020, 2:06:17 PM",morning
DL1PC9794,185,"12/7/2020, 4:47:50 AM","12/7/2020, 12:00:20 PM",morning
DL1PC9092,Air Port Ex-Press - 4,"12/7/2020, 5:35:03 AM","12/7/2020, 12:29:02 PM",morning
DL1PC7089,192,"12/7/2020, 7:58:18 AM","12/7/2020, 3:22:58 PM",morning
