bus_number,duty,ot,it,shift
DL1PC7137,469,"12/14/2020, 7:57:36 AM","14/12/2020, 15:35:36",morning
DL1PC7573,522,"12/14/2020, 7:10:58 AM","14/12/2020, 14:01:19",morning
DL1PC7002,522,"12/14/2020, 6:23:58 AM","14/12/2020, 13:16:42",morning
DL1PC7039,413,"12/14/2020, 6:18:31 AM","14/12/2020, 14:00:32",morning
DL1PC7049,411,"12/14/2020, 6:47:33 AM","14/12/2020, 14:00:16",morning
DL1PC7047,419,"12/14/2020, 6:20:31 AM","14/12/2020, 13:59:53",morning
DL1PC7012,469,"12/14/2020, 5:56:02 AM","14/12/2020, 13:31:39",morning
DL1PC7050,500,"12/14/2020, 7:01:44 AM","14/12/2020, 15:12:24",morning
DL1PC7041,519,"12/14/2020, 6:28:38 AM","14/12/2020, 16:13:31",morning
DL1PC7037,516,"12/14/2020, 7:29:21 AM","14/12/2020, 14:44:49",morning
DL1PC7053,525,"12/14/2020, 6:22:15 AM","14/12/2020, 13:06:37",morning
DL1PC7031,521,"12/14/2020, 5:53:50 AM","12/14/2020, 12:48:12 PM",morning
DL1PC7060,419,"12/14/2020, 6:00:09 AM","12/14/2020, 12:37:07 PM",morning
DL1PC7018,505,"12/14/2020, 6:29:03 AM","14/12/2020, 14:01:45",morning
DL1PC7393,419,"12/14/2020, 7:28:48 AM","14/12/2020, 14:43:59",morning
DL1PC7042,522,"12/14/2020, 5:22:10 AM","12/14/2020, 12:16:51 PM",morning
DL1PC7028,500,"12/14/2020, 7:27:43 AM","14/12/2020, 15:35:28",morning
DL1PC7051,423,"12/14/2020, 5:17:39 AM","12/14/2020, 12:26:50 PM",morning
DL1PC7024,516,"12/14/2020, 7:10:18 AM","14/12/2020, 14:44:53",morning
DL1PC7092,419,"12/14/2020, 7:28:22 AM","14/12/2020, 15:11:41",morning
DL1PC7040,680,"12/14/2020, 6:47:56 AM","14/12/2020, 14:23:19",morning
DL1PC7069,500,"12/14/2020, 5:58:54 AM","14/12/2020, 13:16:50",morning
DL1PC7075,423,"12/14/2020, 6:46:41 AM","14/12/2020, 14:23:07",morning
DL1PC7029,423,"12/14/2020, 7:53:24 AM","14/12/2020, 15:35:31",morning
DL1PC7063,519,"12/14/2020, 7:40:09 AM","14/12/2020, 14:19:23",morning
DL1PC7025,680,"12/14/2020, 8:07:52 AM","14/12/2020, 15:53:24",morning
DL1PC7026,580,"12/14/2020, 6:21:49 AM","14/12/2020, 13:59:44",morning
DL1PC7033,469,"12/14/2020, 9:35:04 AM","14/12/2020, 16:13:26",morning
DL1PC7072,520,"12/14/2020, 6:21:20 AM","14/12/2020, 14:19:13",morning
DL1PC7044,522,"12/14/2020, 5:58:17 AM","12/14/2020, 12:16:45 PM",morning
DL1PC7004,469,"12/14/2020, 7:57:00 AM","14/12/2020, 15:36:19",morning
DL1PC7038,505,"12/14/2020, 6:35:21 AM","14/12/2020, 14:22:59",morning
DL1PC7046,419,"12/14/2020, 6:35:54 AM","14/12/2020, 14:23:48",morning
DL1PC7310,419,"12/14/2020, 5:56:26 AM","14/12/2020, 13:17:01",morning
DL1PC7391,419,"12/14/2020, 6:20:06 AM","14/12/2020, 13:31:54",morning
DL1PC7082,522,"12/14/2020, 8:37:33 AM","14/12/2020, 15:35:54",morning
DL1PC7073,423,"12/14/2020, 7:58:10 AM","14/12/2020, 15:36:13",morning
DL1PC7013,419,"12/14/2020, 7:27:31 AM","14/12/2020, 15:12:36",morning
DL1PC7135,680,"12/14/2020, 9:51:13 AM","14/12/2020, 16:13:36",morning
DL1PC7079,423,"12/14/2020, 7:49:29 AM","14/12/2020, 15:13:04",morning
DL1PC7065,419,"12/14/2020, 5:02:37 AM","12/14/2020, 12:26:44 PM",morning
DL1PC7147,419,"12/14/2020, 6:19:48 AM","14/12/2020, 14:19:30",morning
DL1PC7043,500,"12/14/2020, 6:36:21 AM","14/12/2020, 13:59:49",morning
DL1PC7081,SPECIAL-HIRE,"12/14/2020, 6:13:00 AM","14/12/2020, 14:23:41",morning
DL1PC7087,500,"12/14/2020, 6:23:22 AM","14/12/2020, 14:00:26",morning
DL1PC7385,419,"12/14/2020, 6:19:23 AM","14/12/2020, 14:18:30",morning
DL1PC7061,423,"12/14/2020, 8:08:19 AM","14/12/2020, 15:13:12",morning
DL1PC7045,542,"12/14/2020, 7:09:50 AM","14/12/2020, 14:22:46",morning
DL1PC7021,423,"12/14/2020, 5:57:52 AM","14/12/2020, 13:06:42",morning
DL1PC7030,516,"12/14/2020, 7:39:24 AM","14/12/2020, 14:31:17",morning
DL1PC7035,SPECIAL-HIRE,"12/14/2020, 6:12:38 AM","14/12/2020, 14:23:12",morning
DL1PC9074,419,"12/14/2020, 8:57:21 AM","14/12/2020, 15:52:31",morning
DL1PC7020,423,"12/14/2020, 7:39:46 AM","14/12/2020, 15:11:46",morning
DL1PC7054,419,"12/14/2020, 7:48:06 AM","14/12/2020, 15:36:09",morning
DL1PC7059,423,"12/14/2020, 6:33:49 AM","14/12/2020, 14:19:19",morning
DL1PC7022,522,"12/14/2020, 7:02:10 AM","14/12/2020, 14:23:36",morning
DL1PC7036,680,"12/14/2020, 6:22:51 AM","14/12/2020, 13:31:49",morning
DL1PC7057,505,"12/14/2020, 6:22:31 AM","14/12/2020, 14:00:20",morning
