bus_number,duty,ot,it,shift
DL1PC7310,419,"12/2/2020, 6:51:41 AM","12/2/2020, 2:36:01 PM",morning
DL1PC7044,680,"12/2/2020, 8:48:40 AM","12/2/2020, 4:16:14 PM",morning
DL1PC7393,469,"12/2/2020, 7:40:56 AM","12/2/2020, 3:16:56 PM",morning
DL1PC7013,419,"12/2/2020, 7:30:33 AM","12/2/2020, 3:05:03 PM",morning
DL1PC7056,520,"12/2/2020, 5:22:55 AM","12/2/2020, 1:19:35 PM",morning
DL1PC7002,522,"12/2/2020, 6:13:01 AM","12/2/2020, 1:10:04 PM",morning
DL1PC7082,680,"12/2/2020, 7:00:58 AM","12/2/2020, 1:32:25 PM",morning
DL1PC7036,516,"12/2/2020, 6:47:29 AM","12/2/2020, 2:36:08 PM",morning
DL1PC7301,419,"12/2/2020, 8:37:43 AM","12/2/2020, 4:00:14 PM",morning
DL1PC7062,469,"12/2/2020, 8:28:28 AM","12/2/2020, 4:32:07 PM",morning
DL1PC7084,503,"12/2/2020, 6:42:11 AM","12/2/2020, 2:23:11 PM",morning
DL1PC9074,680,"12/2/2020, 8:51:46 AM","12/2/2020, 4:16:05 PM",morning
DL1PC7043,419,"12/2/2020, 8:34:10 AM","12/2/2020, 3:53:31 PM",morning
DL1PC7047,423,"12/2/2020, 7:50:18 AM","12/2/2020, 3:16:38 PM",morning
DL1PC7060,419,"12/2/2020, 4:56:58 AM","12/2/2020, 12:44:42 PM",morning
DL1PC7021,469,"12/2/2020, 6:17:15 AM","12/2/2020, 1:48:06 PM",morning
DL1PC7309,522,"12/2/2020, 6:27:25 AM","12/2/2020, 1:47:34 PM",morning
DL1PC7050,522,"12/2/2020, 5:32:13 AM","12/2/2020, 12:03:22 PM",morning
DL1PC7085,423,"12/2/2020, 6:32:21 AM","12/2/2020, 2:07:26 PM",morning
DL1PC7027,423,"12/2/2020, 5:32:53 AM","12/2/2020, 1:09:43 PM",morning
DL1PC7051,500,"12/2/2020, 5:42:05 AM","12/2/2020, 1:19:31 PM",morning
DL1PC7008,419,"12/2/2020, 8:11:38 AM","12/2/2020, 3:30:31 PM",morning
DL1PC7032,680,"12/2/2020, 6:28:37 AM","12/2/2020, 2:07:34 PM",morning
DL1PC7061,419,"12/2/2020, 5:57:33 AM","12/2/2020, 1:59:36 PM",morning
DL1PC7010,469,"12/2/2020, 7:11:48 AM","12/2/2020, 2:36:14 PM",morning
DL1PC7014,419,"12/2/2020, 7:11:19 AM","12/2/2020, 2:35:52 PM",morning
DL1PC7076,522,"12/2/2020, 8:11:20 AM","12/2/2020, 3:30:14 PM",morning
DL1PC7041,542,"12/2/2020, 6:49:52 AM","12/2/2020, 2:23:05 PM",morning
DL1PC7031,411,"12/2/2020, 7:09:14 AM","12/2/2020, 2:50:08 PM",morning
DL1PC7048,505,"12/2/2020, 7:52:45 AM","12/2/2020, 3:30:37 PM",morning
DL1PC7066,519,"12/2/2020, 6:52:26 AM","12/2/2020, 2:49:54 PM",morning
DL1PC7305,522,"12/2/2020, 8:29:46 AM","12/2/2020, 3:30:44 PM",morning
DL1PC7018,505,"12/2/2020, 6:28:01 AM","12/2/2020, 2:07:45 PM",morning
DL1PC7020,419,"12/2/2020, 6:13:23 AM","12/2/2020, 2:08:31 PM",morning
DL1PC7042,411,"12/2/2020, 6:42:33 AM","12/2/2020, 2:08:38 PM",morning
DL1PC7057,505,"12/2/2020, 5:57:14 AM","12/2/2020, 4:07:21 PM",morning
DL1PC7080,500,"12/2/2020, 6:40:52 AM","12/2/2020, 1:59:40 PM",morning
DL1PC7035,SPECIAL-HIRE,"12/2/2020, 5:40:46 AM","12/2/2020, 4:07:34 PM",morning
DL1PC7081,SPECIAL-HIRE,"12/2/2020, 5:40:05 AM","12/2/2020, 4:06:38 PM",morning
DL1PC7012,419,"12/2/2020, 6:48:04 AM","12/2/2020, 2:07:50 PM",morning
DL1PC7094,419,"12/2/2020, 5:50:34 AM","12/2/2020, 1:19:22 PM",morning
DL1PC7563,469,"12/2/2020, 8:12:23 AM","12/2/2020, 3:53:17 PM",morning
DL1PC7139,419,"12/2/2020, 6:34:19 AM","12/2/2020, 2:08:11 PM",morning
DL1PC7136,522,"12/2/2020, 8:33:05 AM","12/2/2020, 4:06:14 PM",morning
DL1PC7034,423,"12/2/2020, 10:51:56 AM","12/2/2020, 3:53:07 PM",morning
DL1PC7218,680,"12/2/2020, 6:41:27 AM","12/2/2020, 1:48:24 PM",morning
DL1PC7063,521,"12/2/2020, 5:52:43 AM","12/2/2020, 12:56:00 PM",morning
DL1PC7053,525,"12/2/2020, 5:36:13 AM","12/2/2020, 1:09:59 PM",morning
